Cruise ID,Site name/Station,Event ID,Sampling Gear,Latitude[deg+veN],Longitude[deg+veE],yyyy-mm-ddThh24:mi[GMT/UT],Rosette bottle type,Rosette bottle volume [L],Rosette bottle number,Unique project/cruise sample ID,Sample depth [m],Comments,DIC,DIC_StDev,DIC_QF,TA,TA_StDev,TA_QF
0115S,,,,56.489,-2.368,2015-01-06T06:00GMT,,,,V24-0552,5,,2112.8,NaN,V,2277.8,NaN,V
0115S,,,,56.809,-1.42,2015-01-07T06:00GMT,,,,V24-0553,5,,2149.1,NaN,V,2315.2,NaN,V
0115S,,,,57.251,-1.013,2015-01-08T06:06GMT,,,,V24-0554,5,,2144.4,NaN,V,2307.2,NaN,V
0115S,,,,56.666,-2.33,2015-01-09T06:00GMT,,,,V38-1239,5,,2145.6,NaN,V,2276.2,NaN,V
0115S,,,,57.925,-3.852,2015-01-10T06:00GMT,,,,V38-1240,5,,2109.2,NaN,V,2271.4,NaN,V
0115S,,,,57.784,-2.32,2015-01-11T06:00GMT,,,,V24-0550,5,,2125.6,NaN,V,2307.5,NaN,V
0115S,,,,57.942,-3.984,2015-01-12T06:00GMT,,,,V24-0551,5,,2099.3,NaN,V,2252.3,NaN,V
0115S,,,,57.946,-3.887,2015-01-13T06:00GMT,,,,V24-0549,5,,2099.2,NaN,V,2249.5,NaN,V
0115S,,,,58.348,-5.986,2015-01-14T06:00GMT,,,,V24-0548,5,,2121.5,NaN,V,2290.4,NaN,V
0115S,,,,57.45,-6.027,2015-01-15T06:00GMT,,,,V24-0547,5,,2135.8,NaN,V,2269.9,NaN,V
0115S,,,,57.416,-6.929,2015-01-16T06:00GMT,,,,V24-0546,5,,2149.8,NaN,V,2287.6,NaN,V
0115S,,,,57.558,-6.774,2015-01-17T06:00GMT,,,,V24-0545,5,,2109.3,NaN,V,2287.6,NaN,V
0115S,,,,58.70483333,-3.677166667,2015-01-18T06:00GMT,,,,V38-1258,5,,2067.8,NaN,V,2283.9,NaN,V
1714S,,,,57.819,-1.885,2014-10-28T13:05GMT,,,,V38-1272,5,,2110.6,NaN,V,2299.7,NaN,V
1714S,,,,59.134,-6.679,2014-10-29T09:43GMT,,,,V38-1271,5,,2113.4,NaN,V,2327.4,NaN,V
1714S,,,,59.081,-5.002,2014-10-30T08:29GMT,,,,V38-1270,5,,2113.6,NaN,V,2307,NaN,V
1714S,,,,58.875,-5.018,2014-10-31T09:28GMT,,,,V24-0579,5,,2106.2,NaN,V,2291.2,NaN,V
1714S,,,,58.928,-5.2,2014-11-01T10:00GMT,,,,V24-0580,5,,2109.1,NaN,V,2302.7,NaN,V
1714S,,,,59,-5.136,2014-11-02T09:29GMT,,,,V38-1267,5,,2113,NaN,V,2288,NaN,V
1714S,,,,58.941,-5.135,2014-11-03T09:09GMT,,,,V38-1268,5,,2113.6,NaN,V,2298.2,NaN,V
1714S,,,,58.938,-4.983,2014-11-04T08:36GMT,,,,V38-1269,5,,2115.4,NaN,V,2303.5,NaN,V
1314S,,,,61.582,-1.094,2014-09-09T07:30GMT,,,,V24-0563,5,,2088.7,NaN,V,2317.9,NaN,V
1314S,,,,61.671,-1.143,2014-09-10T07:30GMT,,,,V38-1251,5,,2085.2,NaN,V,2323.1,NaN,V
1314S,,,,61.195,-2.708,2014-09-11T07:35GMT,,,,V38-1250,5,,2109.2,NaN,V,NaN,NaN,X
1314S,,,,60.296,-2.409,2014-09-12T07:10GMT,,,,V38-1252,5,,2100.9,NaN,V,2307.5,NaN,V
1314S,,,,59.88,-5.227,2014-09-13T07:30GMT,,,,V38-1253,5,,2096.4,NaN,V,2325.9,NaN,V
1314S,,,,59.973,-5.189,2014-09-14T07:30GMT,,,,V38-1249,5,,2101.7,NaN,V,2313.9,NaN,V
