,DATE_UTC,TIME_UTC,station,bottle_id,latitude,longitude,depth_nominal,temperature,salinity,DIC,dic_flag,TA,alkalinity_flag,pH_spectro_total_lab,pH_spectro_temperature,pH_spectro_flag,nitrate,nitrite,ammonia,phosphate,silicate,doc,datetime,distance_to_shore,datenum,dayofyear,month,year
0,2018-01-23 11:27:00,2018-01-23 11:27:00,WALCRN2,2018005572,51.5489,3.4108,3.5,5.46,31.23,2329.6,2,2454.3,2,7.735,23.2,2,41.66,0.32,4.05,0.97,23.08,128.1,2018-01-23 11:27:00,2.53447429996971,17554.477083333335,23,1,2018
1,2018-02-13 16:12:00,2018-02-13 16:12:00,WALCRN2,2018005573,51.5489,3.4108,3.5,4.8,31.45,2324.1,2,2455.3,2,7.737,23.3,2,47.27,0.38,2.61,1.05,22.7,129.5,2018-02-13 16:12:00,2.53447429996971,17575.675,44,2,2018
2,2018-03-15 07:28:00,2018-03-15 07:28:00,WALCRN2,2018005574,51.5489,3.4108,3.5,4.14,31.3,2263.0,2,2433.6,2,7.857,23.1,2,33.09,0.35,4.71,0.31,9.51,97.6,2018-03-15 07:28:00,2.53447429996971,17605.31111111111,74,3,2018
3,2018-04-18 22:14:00,2018-04-18 22:14:00,WALCRN2,2018005575,51.5489,3.4108,3.5,9.17,31.71,2160.7,2,2464.4,2,8.107,22.7,2,17.31,0.22,0.51,0.12,0.65,120.6,2018-04-18 22:14:00,2.53447429996971,17639.92638888889,108,4,2018
4,2018-05-16 10:52:00,2018-05-16 10:52:00,WALCRN2,2018005576,51.5489,3.4108,3.5,12.86,31.76,2020.1,2,2441.2,2,8.259,24.4,2,0.43,0.1,0.92,0.15,1.71,176.9,2018-05-16 10:52:00,2.53447429996971,17667.452777777777,136,5,2018
5,2018-06-11 16:01:00,2018-06-11 16:01:00,WALCRN2,2018005577,51.5489,3.4108,3.5,15.67,31.9,2147.8,2,2435.9,2,8.057,24.4,2,0.0,0.14,0.82,0.23,0.7,119.8,2018-06-11 16:01:00,2.53447429996971,17693.66736111111,162,6,2018
6,2018-07-18 17:25:00,2018-07-18 17:25:00,WALCRN2,2018005578,51.5489,3.4108,3.5,19.95,31.75,,9,2476.4,2,8.019,24.4,2,0.22,0.27,1.06,0.22,1.02,146.1,2018-07-18 17:25:00,2.53447429996971,17730.725694444445,199,7,2018
7,2018-08-16 21:30:00,2018-08-16 21:30:00,WALCRN2,2018005579,51.5489,3.4108,3.5,20.69,31.92,,9,,9,,,9,2.93,0.82,6.86,0.87,13.91,146.0,2018-08-16 21:30:00,2.53447429996971,17759.895833333332,228,8,2018
8,2018-09-12 11:06:00,2018-09-12 11:06:00,WALCRN2,2018005580,51.5489,3.4108,3.5,18.7,32.38,2202.8,2,2426.3,2,7.927,25.0,2,1.24,0.36,2.63,0.41,6.17,76.3,2018-09-12 11:06:00,2.53447429996971,17786.4625,255,9,2018
9,2018-10-17 10:59:00,2018-10-17 10:59:00,WALCRN2,2018005581,51.5489,3.4108,3.5,16.48,32.55,2211.5,2,2423.6,2,7.884,25.0,2,1.12,0.26,1.98,0.37,3.37,98.9,2018-10-17 10:59:00,2.53447429996971,17821.45763888889,290,10,2018
10,2018-11-12 20:11:00,2018-11-12 20:11:00,WALCRN2,2018005582,51.5489,3.4108,3.5,11.18,32.41,2276.0,2,2425.6,2,7.735,25.0,2,6.5,0.54,5.94,0.65,8.74,102.7,2018-11-12 20:11:00,2.53447429996971,17847.84097222222,316,11,2018
11,2018-12-10 22:57:00,2018-12-10 22:57:00,WALCRN2,2018005583,51.5489,3.4108,3.5,8.41,32.59,2280.9,2,2428.5,2,7.739,25.0,2,8.49,0.53,7.9,0.74,8.22,108.7,2018-12-10 22:57:00,2.53447429996971,17875.95625,344,12,2018
12,2018-01-23 09:55:00,2018-01-23 09:55:00,WALCRN20,2018005584,51.6586,3.2206,3.5,6.3,33.6,2212.6,2,2364.2,2,7.779,23.2,2,22.32,0.39,2.69,0.56,11.48,101.5,2018-01-23 09:55:00,20.051805805046,17554.413194444445,23,1,2018
13,2018-02-13 17:26:00,2018-02-13 17:26:00,WALCRN20,2018005585,51.6586,3.2206,3.5,6.0,33.12,2257.3,2,2397.5,2,7.758,23.2,2,29.5,0.57,1.3,0.8,13.19,96.3,2018-02-13 17:26:00,20.051805805046,17575.72638888889,44,2,2018
14,2018-03-15 06:02:00,2018-03-15 06:02:00,WALCRN20,2018005586,51.6586,3.2206,3.5,4.06,33.12,2275.3,2,2429.8,2,7.804,23.1,2,35.69,0.29,1.19,0.49,11.48,100.2,2018-03-15 06:02:00,20.051805805046,17605.25138888889,74,3,2018
15,2018-04-18 22:25:00,2018-04-18 22:25:00,WALCRN20,2018005587,51.6586,3.2206,3.5,8.37,32.84,2135.7,2,2430.5,2,8.089,22.7,2,9.68,0.2,0.31,0.14,1.54,107.3,2018-04-18 22:25:00,20.051805805046,17639.934027777777,108,4,2018
16,2018-05-16 09:59:00,2018-05-16 09:59:00,WALCRN20,2018005588,51.6586,3.2206,3.5,12.48,32.08,2051.0,2,2438.7,2,8.212,24.2,2,0.4,0.1,0.75,0.13,2.33,138.5,2018-05-16 09:59:00,20.051805805046,17667.41597222222,136,5,2018
