,datetime,Unnamed: 0,Unnamed: 0.1,par1,par1_type,par2,par2_type,alkalinity,dic,opt_k_bisulfate,opt_k_carbonic,opt_k_fluoride,opt_total_borate,opt_gas_constant,opt_pH_scale,salinity,temperature,pressure,total_ammonia,total_borate,total_calcium,total_fluoride,total_phosphate,total_silicate,total_sulfate,total_sulfide,peng_correction,gas_constant,total_alpha,total_beta,pH,pCO2,fCO2,bicarbonate,carbonate,aqueous_CO2,xCO2,alkalinity_borate,hydroxide,alkalinity_phosphate,alkalinity_silicate,alkalinity_ammonia,alkalinity_sulfide,hydrogen_free,revelle_factor,saturation_calcite,saturation_aragonite,pH_total,pH_sws,pH_free,pH_nbs,gamma_dic,beta_dic,omega_dic,gamma_alk,beta_alk,omega_alk,isocapnic_quotient,isocapnic_quotient_approx,psi,substrate_inhibitor_ratio,alkalinity_alpha,alkalinity_beta,HCO3,CO3,CO2,BOH4,BOH3,OH,Hfree,H3PO4,H2PO4,HPO4,PO4,H3SiO4,H4SiO4,NH3,NH4,HS,H2S,HSO4,SO4,HF,F,alpha,alphaH,beta,betaH,k_CO2,k_carbonic_1,k_carbonic_2,k_water,k_borate,k_bisulfate,k_fluoride,k_phosphoric_1,k_phosphoric_2,k_phosphoric_3,k_silicate,k_ammonia,k_sulfide,k_calcite,k_aragonite,fugacity_factor,vp_factor,fH,k_alpha,k_beta,longitude,latitude,datenum,dayofyear,month,year,distance_to_shore,total_nitrate
0,2018-01-31,89.125,89.125,2356.2625,1.0,2208.19375,2.0,2356.2625,2208.19375,1.0,4.0,1.0,1.0,3.0,1.0,32.381875,6.2681249999999995,0.0,0.0,384.6041553571429,9515.24715662009,63.214822858821364,0.6443749999999999,16.963124999999998,26123.322818885998,0.0,0.0,83.14462618,0.0,0.0,8.041966711710419,418.1370814705207,416.4460941883243,2073.057744891076,113.98538432892725,21.150620779996743,422.0261881367965,53.2224639535952,1.0468712242651625,0.674860527954097,0.2990638081873067,0.0,0.0,0.008070901766717131,14.585152744053735,2.751949924169873,1.730847309919505,8.041966711710419,8.034505012226706,8.094937661757271,8.144052543509929,0.00015243539344968752,0.00017089089785545,-0.00019455781053578125,-0.00017089089785545,-0.00017823881580529376,0.000186275221516625,1.119898867922347,1.1174112005812398,0.786297710308269,0.25828372635270225,0.0,0.0,2073.057744891076,113.98538432892725,21.150620779996746,53.2224639535952,331.3816914035477,1.0468712242651625,0.008070901766717131,3.079477429145491e-09,0.007894152914251518,0.5981011569789676,0.038379687027303384,0.2990638081873067,16.664061191812692,0.0,0.0,0.0,0.0,0.001044527155024775,26123.321774358843,0.00015763401056589376,63.2146652248108,0.0,0.0,0.0,0.0,0.05064416025018557,9.00532410779248e-07,4.976661412591505e-10,9.428394604451439e-15,1.4391929658296966e-09,0.20109752350424387,0.0032224595168289564,0.024494309881003314,7.216985263568684e-07,5.955048864462597e-10,1.8155926138217225e-10,1.232675012392598e-10,1.466498330667498e-07,3.94060288484738e-07,6.265461510807706e-07,0.9959578211178589,0.990762831911989,0.7770908260142375,1e-07,1e-07,3.88194375,52.86004375,17562.0,31,1,2018,53.50085632110021,31.166249999999998
1,2018-02-28,78.92857142857143,78.92857142857143,2369.1,1.0,2224.35,2.0,2369.1,2224.35,1.0,4.0,1.0,1.0,3.0,1.0,31.965714285714284,5.707857142857143,0.0,0.0,379.66135510204083,9392.960474539324,62.40240770885331,0.6807142857142857,14.288571428571428,25787.594863546045,0.0,0.0,83.14462618,0.0,0.0,8.047748368526694,413.0921204115215,411.409531460508,2090.746140250908,112.26193718731437,21.341922561777835,416.7921155171243,51.87397092720375,0.9886447866453626,0.7127854190293234,0.26370656460235664,0.0,0.0,0.007965744807580236,14.795278751347594,2.7174305490874495,1.7055764468311618,8.047748368526694,8.040386997754451,8.099315659043153,8.149520980116852,0.0001510344729553786,0.00016884001840685714,-0.00019148715785984998,-0.00016884001840685714,-0.00017584419558037143,0.0001834712653841286,1.1171361294757038,1.1143081451716295,0.7905591520821444,0.26278765924787945,0.0,0.0,2090.746140250908,112.26193718731437,21.341922561777814,51.87397092720375,327.7873841748371,0.9886447866453626,0.007965744807580236,3.062969400410099e-09,0.008190609180328165,0.6322619248496834,0.04026174862130467,0.26370656460235664,14.024864863969071,0.0,0.0,0.0,0.0,0.001003369339011157,25787.593860176705,0.0001532088705721143,62.40225449998273,0.0,0.0,0.0,0.0,0.05178795555616368,8.830191535072215e-07,4.814513178335031e-10,8.831748798359972e-15,1.406986664046717e-09,0.20420610573720038,0.00323419001459905,0.02441881486031008,7.0789664655849e-07,5.77392137413166e-10,1.7630151073935412e-10,1.1774999799120737e-10,1.426814657954585e-07,3.8818570473403755e-07,6.183031138126152e-07,0.9959278766996859,0.9911111503900367,0.7778380608687036,1e-07,1e-07,3.9472785714285714,52.56209285714285,17590.0,59,2,2018,43.70831559474164,28.98785714285714
2,2018-03-31,79.92857142857143,79.92857142857143,2388.1785714285716,1.0,2200.035714285714,2.0,2388.1785714285716,2200.035714285714,1.0,4.0,1.0,1.0,3.0,1.0,32.53285714285714,4.485714285714286,0.0,0.0,386.3973918367347,9559.612481528602,63.50956519278317,0.17928571428571427,5.565714285714286,26245.12414316831,0.0,0.0,83.14462618,0.0,0.0,8.164293566301948,306.3739322135415,305.1060992515257,2044.8281162104079,138.76284303021512,16.444755045091345,308.8956754988152,64.36520771672687,1.1463227464564676,0.18948577188340204,0.13077071539933705,0.0,0.0,0.006159297240955321,13.119632827694947,3.355967798554237,2.1061229767203042,8.164293566301948,8.157016931435697,8.21362793425275,8.26278886879473,0.00016814311233316427,0.00019233198972526427,-0.00022475308142294286,-0.00019233198972526427,-0.00020312691671852857,0.0002152312949458643,1.1432157752821586,1.1458319358282245,0.7497086585949184,0.3365278120681899,0.0,0.0,2044.8281162104079,138.76284303021512,16.444755045091416,64.36520771672687,322.03218412000786,1.1463227464564676,0.006159297240955321,5.562340029142608e-10,0.0017921479008970501,0.16550135921753023,0.011992206611052872,0.13077071539933705,5.434943570314949,0.0,0.0,0.0,0.0,0.0007417353544861429,26245.123401432957,0.00011676013726462898,63.50944843264591,0.0,0.0,0.0,0.0,0.05392379221203005,8.588879357646961e-07,4.6384721539846423e-10,7.820018859250716e-15,1.3657799203576508e-09,0.2181599387247351,0.0033523395479845355,0.02450655903463533,6.928080138669233e-07,5.413914773143334e-10,1.6678175839339395e-10,1.0555020133189744e-10,1.3510286118999234e-07,3.956023182736385e-07,6.300901540825299e-07,0.9958615669740051,0.9918386243816049,0.7838657388581144,1e-07,1e-07,3.9472785714285714,52.56209285714285,17621.0,90,3,2018,43.70831559474164,20.243571428571425
3,2018-04-30,91.875,91.875,2395.48125,1.0,2148.52,2.0,2395.48125,2148.52,1.0,4.0,1.0,1.0,3.0,1.0,32.8025,7.353125,0.0,0.0,389.5999785714286,9638.84564606066,64.03595303936193,0.23124999999999998,1.550625,26462.652232661265,0.0,0.0,83.14462618,0.0,0.0,8.239924823669979,255.48536177654245,254.4660402506093,1954.4056955087042,181.69942415802262,12.414880333273077,258.0441143870823,80.75020543929692,1.9348830839376883,0.25121626943617026,0.051797344652291834,0.0,0.0,0.005171183820229967,11.342195174504303,4.39092431615902,2.767817691937456,8.239924823669979,8.232296072737977,8.295789735108238,8.343771754133881,0.00019130047398703334,0.00022719797793743334,-0.00028030924543036664,-0.00022719797793743334,-0.00024559805653043997,0.0002674085988764733,1.1847910015780452,1.205342931446731,0.6892248142366981,0.39248540011532557,0.0,0.0,1954.4056955087042,181.69942415802262,12.414880333273073,80.75020543929692,307.3948231321317,1.9348830839376883,0.005171183820229967,4.825387972425692e-10,0.00178714841258626,0.20787609895770734,0.02167008548050082,0.051797344652291834,1.5968693220143746,0.0,0.0,0.0,0.0,0.0007041140316462534,26363.82750908222,0.00010399755406662351,63.796708602898576,0.0,0.0,0.0,0.0,0.04865456440204395,9.312991649411551e-07,5.245320014497876e-10,1.0638877843698522e-14,1.4948412835111006e-09,0.1942495518972038,0.0031806178276050376,0.024573100337864286,7.449351197900618e-07,6.361777046957874e-10,1.9174555679580002e-10,1.3556644763129995e-10,1.544590532888664e-07,3.9969215865890147e-07,6.338269597362516e-07,0.9960145081304379,0.9900296944349382,0.7745325263707405,1e-07,1e-07,3.88194375,52.86004375,17651.0,120,4,2018,53.50085632110021,12.183125
4,2018-05-31,102.72222222222223,102.72222222222223,2391.588888888889,1.0,2014.25,2.0,2391.588888888889,2014.25,1.0,4.0,1.0,1.0,3.0,1.0,32.10888888888889,11.823888888888888,0.0,0.0,381.3618603174603,9435.031594131915,62.68190842268055,0.21411764705882352,1.4982352941176469,25903.097637187042,0.0,0.0,83.14462618,0.0,0.0,8.38526962172044,193.06039539005639,192.3359356674615,1734.1846462596009,270.86736855966205,8.053867533678279,195.72195469780763,113.75388324973862,4.794056308702813,0.25432121827989806,0.07125958766173265,0.0,0.0,0.003933791757950559,9.51834066692535,6.570862725595468,4.167236897616675,8.38526962172044,8.377204463983063,8.451368752375707,8.49881118520942,0.0002132389111152,0.0002729137497468,-0.00040167153098993527,-0.0002729137497468,-0.0003130490350595588,0.0003755496967473941,1.2760935867039793,1.459626112940012,0.57829190483616,0.5130941068423273,0.0,0.0,1734.1846462596009,270.86736855966205,8.053867533678286,113.75388324973862,266.1470108679084,4.794056308702813,0.003933791757950559,2.101736490585677e-10,0.0009801901755702293,0.17195369485608739,0.041183761816992105,0.07125958766173265,1.4269757064559145,0.0,0.0,0.0,0.0,0.0006486721502044707,25803.86433298167,8.598528234794609e-05,62.441693155804344,0.0,0.0,0.0,0.0,0.04205870616468537,1.0383920055450496e-06,6.165633673385866e-10,1.6561796169227943e-14,1.6900424270732461e-09,0.15785721023761973,0.0028703044330807225,0.02443259174623611,8.177352505136321e-07,8.205836970144928e-10,2.3451580819783714e-10,1.9816494917291135e-10,1.8728141108975524e-07,3.893401051032403e-07,6.137237746343774e-07,0.9962393412793222,0.9865529349435604,0.7563173971446916,1e-07,1e-07,4.461683333333333,52.889627777777775,17682.0,151,5,2018,17.08884730421702,4.614117647058824
5,2018-06-30,71.0,71.0,2412.3333333333335,1.0,2142.491666666667,2.0,2412.3333333333335,2142.491666666667,1.0,4.0,1.0,1.0,3.0,1.0,32.017500000000005,15.166666666666666,0.0,0.0,380.27642142857144,9408.17743991303,62.50350206349426,0.16166666666666663,1.2049999999999998,25829.371781395686,0.0,0.0,83.14462618,0.0,0.0,8.162001134483361,316.3022082261616,315.1621437290851,1933.1629097864704,197.37749875515942,11.95125812503678,321.6782968015486,80.83436205521225,3.362422385941916,0.1803151327049093,0.045395514115618256,0.0,0.0,0.005838511728876751,10.76571566450157,4.80013416341399,3.0643526768152327,8.162001134483361,8.153575146858515,8.236647613730556,8.28186636141429,0.000199440957091875,0.00023914331123179168,-0.000298816621251275,-0.00023914331123179168,-0.000259999225855825,0.00028490516017454166,1.1983164407011844,1.2262157601246646,0.6693650778975379,0.3350103410231118,0.0,0.0,1933.1629097864704,197.37749875515942,11.951258125036793,80.83436205521225,299.4420593733592,3.362422385941916,0.005838511728876751,3.3466927393765036e-10,0.0011381070300063333,0.14074198556440334,0.01978657373758756,0.045395514115618256,1.1596044858843817,0.0,0.0,0.0,0.0,0.0010946609884429916,25829.370686734695,0.00013587871323054166,62.50336618478102,0.0,0.0,0.0,0.0,0.037914885017329564,1.1237565932780112e-06,7.002660769842212e-10,2.2967979473639443e-14,1.8560146761599996e-09,0.1378771330164727,0.0026863406307169584,0.02430729951491405,8.744376178011294e-07,9.812347818172839e-10,2.712933282487264e-10,2.617248724954327e-10,2.145140284489108e-07,3.8721658847359344e-07,6.06438313571326e-07,0.9963962323307074,0.9832743350001435,0.7442558957238603,1e-07,1e-07,3.906575,52.27535833333334,17712.0,181,6,2018,31.544871690567934,0.8608333333333333
6,2018-07-31,112.05,112.05,2396.34,1.0,2177.2368421052633,2.0,2396.3399999999997,2177.2368421052633,1.0,4.0,1.0,1.0,3.0,1.0,32.7005,18.27,0.0,0.0,388.38851000000005,9608.873471503897,63.83683202084154,0.14749999999999996,1.0745,26380.36611033121,0.0,0.0,83.14462618,0.0,0.0,7.991080455957366,841.6876937096102,838.7438087632509,1976.885135870713,170.77602424841086,29.575681986139337,858.4144139884243,70.105126914118,3.4043787705955544,0.1591368444239396,0.03721207666192476,0.0,0.0,0.013573449637423305,11.110926709309773,4.144840450011819,2.6692959136442944,7.991080455957366,7.982272664841942,8.074843370459398,8.115960677139308,0.00019826808313567896,0.0002317610220721895,-0.0002804500815758105,-0.0002317610220721895,-0.00024658193351279474,0.00026464418339745263,1.1735181064194524,1.1919141574274017,0.7067725188224346,0.2590299885311698,0.0,0.0,1976.885135870713,170.77602424841086,29.5756819861393,70.105126914118,318.87755278513015,3.4043787705955544,0.013573449637423305,9.074446221103848e-10,0.0012661828308395263,0.1256992082446789,0.016718818543352627,0.03721207666192476,1.0401563443907067,0.0,0.0,0.0,0.0,0.0028170541244455735,26420.720857402328,0.0003326800986127842,63.93415905596667,0.0,0.0,0.0,0.0,0.0344933068685087,1.2130180749627012e-06,8.013647071040974e-10,3.1365128199458036e-14,2.0420835558807536e-09,0.12395962528752114,0.00256704438314434,0.02427982803885122,9.361222853041846e-07,1.152858365795447e-09,3.104823604409522e-10,3.372116020937536e-10,2.4226636736884136e-07,3.96073254828864e-07,6.149316379323139e-07,0.9965338090736532,0.9795962589495911,0.7346559062156075,1e-07,1e-07,4.641724999999999,53.004265,17743.0,212,7,2018,7.989107447554105,0.39649999999999996
7,2018-08-31,104.77777777777777,104.77777777777777,2301.4,1.0,2079.2,2.0,2301.4,2079.2,1.0,4.0,1.0,1.0,3.0,1.0,33.06777777777778,19.707222222222224,0.0,0.0,392.7507206349207,9716.796154507574,64.55381952271424,0.30499999999999994,5.453888888888889,26676.658896128574,0.0,0.0,83.14462618,0.0,0.0,8.002902816459079,450.4375507717893,448.8789102967805,1902.064702822792,161.8950818310681,15.24021534613949,459.84836748015016,72.1978453660036,3.289673709391964,0.0656019151461389,0.0021538576415545,0.0,0.0,0.0081453394260382,11.375062229223666,3.873307748538745,2.506137818209069,8.002902816459079,7.993904919649479,8.089090813407775,8.125676703737248,0.0001827858132202,0.0002145389412909,-0.0002596436315253,-0.0002145389412909,-0.0002296712901706,0.0002471003332555,1.1737176836166965,1.1854402303989866,0.703987277278805,0.2335157079817268,0.0,0.0,1902.064702822792,161.8950818310681,15.240215346139571,72.1978453660036,340.65164034828206,3.289673709391964,0.0081453394260382,2.2112545984493006e-10,0.0005487791647972,0.0533005258608902,0.006150694753187,0.0021538576415545,0.0678461423584454,0.0,0.0,0.0,0.0,0.0017880435221023,28041.81793933413,0.0002079501632069,67.8571116946267,0.0,0.0,0.0,0.0,0.03302555518536676,1.255512882487506e-06,8.527500878536597e-10,3.595204736348808e-14,2.1339986069376836e-09,0.11800725347534015,0.0025154964613226163,0.02426760370674521,9.656695656341994e-07,1.2382906885882902e-09,3.297247520613478e-10,3.7658217512059634e-10,2.556045817159426e-07,4.0096266983388764e-07,6.198298092967959e-07,0.9965957939251974,0.9777337985397487,0.7301438329655348,1e-07,1e-07,4.146405555555556,52.99070555555556,17774.0,243,8,2018,39.405682432876965,0.825
8,2018-09-30,85.78571428571429,85.78571428571429,2385.835714285714,1.0,2161.8571428571427,2.0,2385.835714285714,2161.8571428571427,1.0,4.0,1.0,1.0,3.0,1.0,32.74142857142857,18.310714285714287,0.0,0.0,388.87462448979596,9620.900121378563,63.91673142113018,0.32857142857142857,3.9771428571428573,26413.384281266168,0.0,0.0,83.14462618,0.0,0.0,8.02064871629351,454.9966955231384,453.42066629323017,1979.2645810439064,166.98344393212219,15.609117881114276,464.47094508574156,68.83316033102656,3.300098996606225,0.35993402290317117,0.1208097818112611,0.0,0.0,0.007879428228093708,11.704001465793647,4.051074829292069,2.609136364775673,8.02064871629351,8.011829299845898,8.104720890219475,8.145820141006759,0.00018505398480178574,0.00021668285847099999,-0.00026146016173209287,-0.00021668285847099999,-0.00023194583572570715,0.00024954758482074286,1.1704312044835858,1.1840736708470812,0.708984062704859,0.2523946760683,0.0,0.0,1979.2645810439064,166.98344393212219,15.6091178811143,68.83316033102656,320.0414641587694,3.300098996606225,0.007879428228093708,1.2656319310812767e-09,0.0030890631388754072,0.2910307041650392,0.0344516600018819,0.1208097818112611,3.8563330753315954,0.0,0.0,0.0,0.0,0.0016821893385140215,26413.38259907683,0.00019613721723179284,63.91653528391294,0.0,0.0,0.0,0.0,0.03441354589721483,1.2144347603660161e-06,8.033386378122766e-10,3.1354366331499664e-14,2.0450273790185827e-09,0.12362772452570285,0.002565365239614143,0.02428551879316707,9.372935008020637e-07,1.1506663726448888e-09,3.107856897672192e-10,3.364904027503264e-10,2.42471094878956e-07,3.968699093514419e-07,6.160764876796695e-07,0.9965361696179065,0.9796024259519556,0.734545701555616,1e-07,1e-07,3.9472785714285714,52.56209285714285,17804.0,273,9,2018,43.70831559474164,1.0342857142857143
9,2018-10-31,86.78571428571429,86.78571428571429,2388.207142857143,1.0,2166.1142857142854,2.0,2388.207142857143,2166.1142857142854,1.0,4.0,1.0,1.0,3.0,1.0,32.777857142857144,16.080714285714286,0.0,0.0,389.30729183673475,9631.604469434551,63.98784607060175,0.24285714285714283,2.9514285714285715,26442.772182098328,0.0,0.0,83.14462618,0.0,0.0,8.05052664046847,418.6346931713103,417.14319488199226,1985.7360354697414,165.05609553142818,15.322154713116062,426.17932081708176,69.15124822270398,2.8602564709014926,0.2657136979591114,0.09079946208834822,0.0,0.0,0.007460202756509721,11.787204618678246,3.996962180581913,2.5610218488625285,8.05052664046847,8.041938328364314,8.128296816041416,8.1711473429986,0.00018389991549352144,0.00021489925974803572,-0.00025851216214849284,-0.00021489925974803572,-0.00022978867268879998,0.0002469078501171,1.1683240028226567,1.1807432383063914,0.7119404820636619,0.2676123207425923,0.0,0.0,1985.7360354697414,165.05609553142818,15.322154713116046,69.15124822270398,320.15604361403075,2.8602564709014926,0.007460202756509721,7.897643172618532e-10,0.0021458591964398288,0.21570886699300154,0.025002415877937036,0.09079946208834822,2.860629109340223,0.0,0.0,0.0,0.0,0.0014630211320987355,26442.770719077198,0.00017830521966352144,63.98766776538208,0.0,0.0,0.0,0.0,0.03672478010427265,1.1560068293959275e-06,7.389344341967236e-10,2.538639827448491e-14,1.9236384145440864e-09,0.13487156933839775,0.0026774819995203218,0.024404895107878466,8.994398468964017e-07,1.025570448643568e-09,2.8323858904028657e-10,2.806866460610341e-10,2.2277735787459567e-07,3.9815943345238624e-07,6.212386060205032e-07,0.9964377676732523,0.9822846067659083,0.7426795756113732,1e-07,1e-07,3.9472785714285714,52.56209285714285,17835.0,304,10,2018,43.70831559474164,1.377857142857143
