,Unnamed: 0,Unnamed: 0.1,dataset,level_1,datetime,par1,par1_type,par2,par2_type,alkalinity,dic,opt_k_bisulfate,opt_k_carbonic,opt_k_fluoride,opt_total_borate,opt_gas_constant,opt_pH_scale,salinity,temperature,pressure,total_ammonia,total_borate,total_calcium,total_fluoride,total_phosphate,total_silicate,total_sulfate,total_sulfide,peng_correction,gas_constant,total_alpha,total_beta,pressure_atmosphere,pressure_atmosphere_out,pH,pCO2,fCO2,bicarbonate,carbonate,aqueous_CO2,xCO2,alkalinity_borate,hydroxide,alkalinity_phosphate,alkalinity_silicate,alkalinity_ammonia,alkalinity_sulfide,hydrogen_free,revelle_factor,saturation_calcite,saturation_aragonite,pH_total,pH_sws,pH_free,pH_nbs,gamma_dic,beta_dic,omega_dic,gamma_alk,beta_alk,omega_alk,isocapnic_quotient,isocapnic_quotient_approx,psi,substrate_inhibitor_ratio,alkalinity_alpha,alkalinity_beta,HCO3,CO3,CO2,BOH4,BOH3,OH,Hfree,H3PO4,H2PO4,HPO4,PO4,H3SiO4,H4SiO4,NH3,NH4,HS,H2S,HSO4,SO4,HF,F,alpha,alphaH,beta,betaH,k_CO2,k_carbonic_1,k_carbonic_2,k_water,k_borate,k_bisulfate,k_fluoride,k_phosphoric_1,k_phosphoric_2,k_phosphoric_3,k_silicate,k_ammonia,k_sulfide,k_calcite,k_aragonite,fugacity_factor,vp_factor,fH,k_alpha,k_beta,longitude,latitude,total_nitrate,pH_total_spectro_out,distance_to_shore,datenum,dayofyear,month,year,oxygen umol/kg,aou,%_aou_from_oxygen,oxygen_saturation,chlorophyll,calcium umol/kg,calcium_corrected
0,0,0,RWSnmean,0,2018-01-31,2356.2625,1.0,2208.19375,2.0,2356.2625,2208.19375,1.0,4.0,1.0,1.0,3.0,1.0,32.381875,6.268125,0.0,0.0,384.6041553571429,9515.24715662009,63.21482285882136,0.644375,16.963124999999998,26123.322818886,0.0,0.0,83.14462618,0.0,0.0,1.0,1.0,8.041966711710419,418.1370814705207,416.4460941883243,2073.057744891076,113.98538432892724,21.150620779996743,422.0261881367965,53.2224639535952,1.0468712242651623,0.674860527954097,0.2990638081873067,0.0,0.0,0.0080709017667171,14.585152744053737,2.751949924169873,1.730847309919505,8.041966711710419,8.034505012226706,8.094937661757271,8.144052543509929,0.0001524353934497,0.0001708908978555,-0.0001945578105358,-0.0001708908978555,-0.0001782388158053,0.0001862752215166,1.119898867922347,1.1174112005812398,0.786297710308269,0.2582837263527022,0.0,0.0,2073.057744891076,113.98538432892724,21.150620779996743,53.2224639535952,331.3816914035477,1.0468712242651623,0.0080709017667171,3.079477429145491e-09,0.0078941529142515,0.5981011569789676,0.0383796870273034,0.2990638081873067,16.664061191812692,0.0,0.0,0.0,0.0,0.0010445271550248,26123.321774358843,0.0001576340105659,63.2146652248108,0.0,0.0,0.0,0.0,0.0506441602501855,9.00532410779248e-07,4.976661412591504e-10,9.42839460445144e-15,1.4391929658296964e-09,0.2010975235042439,0.003222459516829,0.0244943098810033,7.216985263568684e-07,5.955048864462598e-10,1.8155926138217223e-10,1.232675012392598e-10,1.466498330667498e-07,3.94060288484738e-07,6.265461510807706e-07,0.9959578211178588,0.990762831911989,0.7770908260142375,1e-07,1e-07,3.88194375,52.86004375,31.16625,8.045460056519083,53.50085632110021,17562.0,31,1,2018,,,,,,,
1,1,1,RWSnmean,1,2018-02-28,2369.1,1.0,2224.35,2.0,2369.1,2224.35,1.0,4.0,1.0,1.0,3.0,1.0,31.965714285714284,5.707857142857143,0.0,0.0,379.6613551020408,9392.960474539324,62.40240770885331,0.6807142857142857,14.288571428571428,25787.594863546045,0.0,0.0,83.14462618,0.0,0.0,1.0,1.0,8.047748368526694,413.0921204115215,411.409531460508,2090.746140250908,112.2619371873144,21.341922561777835,416.7921155171243,51.87397092720374,0.9886447866453626,0.7127854190293234,0.2637065646023567,0.0,0.0,0.0079657448075802,14.795278751347594,2.717430549087449,1.7055764468311618,8.047748368526694,8.040386997754451,8.099315659043153,8.149520980116852,0.0001510344729554,0.0001688400184069,-0.0001914871578599,-0.0001688400184069,-0.0001758441955804,0.0001834712653841,1.1171361294757038,1.1143081451716297,0.7905591520821444,0.2627876592478795,0.0,0.0,2090.746140250908,112.2619371873144,21.34192256177781,51.87397092720374,327.7873841748371,0.9886447866453626,0.0079657448075802,3.062969400410099e-09,0.0081906091803282,0.6322619248496834,0.0402617486213047,0.2637065646023567,14.024864863969071,0.0,0.0,0.0,0.0,0.0010033693390111,25787.59386017671,0.0001532088705721,62.40225449998273,0.0,0.0,0.0,0.0,0.0517879555561637,8.830191535072215e-07,4.814513178335033e-10,8.831748798359972e-15,1.406986664046717e-09,0.2042061057372004,0.0032341900145991,0.0244188148603101,7.0789664655849e-07,5.773921374131661e-10,1.7630151073935412e-10,1.1774999799120735e-10,1.426814657954585e-07,3.881857047340377e-07,6.183031138126152e-07,0.995927876699686,0.9911111503900368,0.7778380608687036,1e-07,1e-07,3.9472785714285714,52.56209285714285,28.98785714285714,8.057539546963184,43.70831559474164,17590.0,59,2,2018,,,,,,,
2,2,2,RWSnmean,2,2018-03-31,2388.178571428572,1.0,2200.035714285714,2.0,2388.178571428572,2200.035714285714,1.0,4.0,1.0,1.0,3.0,1.0,32.53285714285714,4.485714285714286,0.0,0.0,386.3973918367347,9559.612481528602,63.50956519278317,0.1792857142857142,5.565714285714286,26245.12414316831,0.0,0.0,83.14462618,0.0,0.0,1.0,1.0,8.164293566301948,306.3739322135415,305.1060992515257,2044.828116210408,138.76284303021512,16.444755045091345,308.8956754988152,64.36520771672687,1.1463227464564676,0.189485771883402,0.130770715399337,0.0,0.0,0.0061592972409553,13.119632827694948,3.355967798554237,2.106122976720304,8.164293566301948,8.157016931435697,8.21362793425275,8.26278886879473,0.0001681431123332,0.0001923319897253,-0.0002247530814229,-0.0001923319897253,-0.0002031269167185,0.0002152312949459,1.1432157752821586,1.1458319358282243,0.7497086585949184,0.3365278120681899,0.0,0.0,2044.828116210408,138.76284303021512,16.444755045091416,64.36520771672687,322.03218412000786,1.1463227464564676,0.0061592972409553,5.562340029142609e-10,0.0017921479008971,0.1655013592175302,0.0119922066110529,0.130770715399337,5.434943570314949,0.0,0.0,0.0,0.0,0.0007417353544861,26245.12340143296,0.0001167601372646,63.50944843264591,0.0,0.0,0.0,0.0,0.0539237922120301,8.58887935764696e-07,4.638472153984641e-10,7.820018859250716e-15,1.3657799203576504e-09,0.2181599387247352,0.0033523395479845,0.0245065590346353,6.928080138669233e-07,5.413914773143334e-10,1.6678175839339395e-10,1.0555020133189744e-10,1.3510286118999236e-07,3.956023182736385e-07,6.300901540825299e-07,0.9958615669740052,0.9918386243816047,0.7838657388581144,1e-07,1e-07,3.9472785714285714,52.56209285714285,20.243571428571425,8.192034379721242,43.70831559474164,17621.0,90,3,2018,,,,,,,
3,3,3,RWSnmean,3,2018-04-30,2395.48125,1.0,2148.52,2.0,2395.48125,2148.52,1.0,4.0,1.0,1.0,3.0,1.0,32.8025,7.353125,0.0,0.0,389.5999785714286,9638.84564606066,64.03595303936193,0.23125,1.550625,26462.652232661265,0.0,0.0,83.14462618,0.0,0.0,1.0,1.0,8.239924823669979,255.48536177654245,254.4660402506093,1954.405695508704,181.69942415802265,12.41488033327308,258.0441143870823,80.75020543929692,1.9348830839376885,0.2512162694361702,0.0517973446522918,0.0,0.0,0.00517118382023,11.342195174504305,4.39092431615902,2.767817691937456,8.239924823669979,8.232296072737977,8.295789735108238,8.343771754133881,0.000191300473987,0.0002271979779374,-0.0002803092454304,-0.0002271979779374,-0.0002455980565304,0.0002674085988765,1.1847910015780452,1.205342931446731,0.6892248142366981,0.3924854001153255,0.0,0.0,1954.405695508704,181.69942415802265,12.414880333273071,80.75020543929692,307.3948231321317,1.9348830839376885,0.00517118382023,4.825387972425691e-10,0.0017871484125863,0.2078760989577073,0.0216700854805008,0.0517973446522918,1.5968693220143746,0.0,0.0,0.0,0.0,0.0007041140316462,26363.82750908222,0.0001039975540666,63.796708602898576,0.0,0.0,0.0,0.0,0.048654564402044,9.312991649411552e-07,5.245320014497875e-10,1.0638877843698522e-14,1.4948412835111006e-09,0.1942495518972038,0.003180617827605,0.0245731003378643,7.449351197900618e-07,6.361777046957874e-10,1.917455567958e-10,1.3556644763129995e-10,1.5445905328886637e-07,3.996921586589016e-07,6.338269597362516e-07,0.996014508130438,0.9900296944349384,0.7745325263707405,1e-07,1e-07,3.88194375,52.86004375,12.183125,8.257111706983455,53.50085632110021,17651.0,120,4,2018,,,,,,,
4,4,4,RWSnmean,4,2018-05-31,2391.588888888889,1.0,2014.25,2.0,2391.588888888889,2014.25,1.0,4.0,1.0,1.0,3.0,1.0,32.10888888888889,11.823888888888888,0.0,0.0,381.3618603174603,9435.031594131917,62.68190842268055,0.2141176470588235,1.4982352941176469,25903.09763718704,0.0,0.0,83.14462618,0.0,0.0,1.0,1.0,8.38526962172044,193.0603953900564,192.3359356674615,1734.1846462596006,270.86736855966205,8.053867533678279,195.7219546978076,113.75388324973862,4.794056308702813,0.254321218279898,0.0712595876617326,0.0,0.0,0.0039337917579506,9.51834066692535,6.570862725595468,4.167236897616675,8.38526962172044,8.377204463983063,8.451368752375707,8.49881118520942,0.0002132389111152,0.0002729137497468,-0.0004016715309899,-0.0002729137497468,-0.0003130490350596,0.0003755496967474,1.276093586703979,1.459626112940012,0.57829190483616,0.5130941068423273,0.0,0.0,1734.1846462596006,270.86736855966205,8.053867533678286,113.75388324973862,266.1470108679084,4.794056308702813,0.0039337917579506,2.1017364905856769e-10,0.0009801901755702,0.1719536948560874,0.0411837618169921,0.0712595876617326,1.4269757064559143,0.0,0.0,0.0,0.0,0.0006486721502045,25803.864332981662,8.598528234796002e-05,62.44169315580434,0.0,0.0,0.0,0.0,0.0420587061646854,1.0383920055450496e-06,6.165633673385865e-10,1.6561796169227943e-14,1.690042427073246e-09,0.1578572102376197,0.0028703044330807,0.0244325917462361,8.177352505136321e-07,8.20583697014493e-10,2.3451580819783714e-10,1.981649491729113e-10,1.8728141108975521e-07,3.893401051032403e-07,6.137237746343774e-07,0.9962393412793222,0.9865529349435604,0.7563173971446916,1e-07,1e-07,4.461683333333333,52.889627777777775,4.614117647058824,8.240692721184379,17.08884730421702,17682.0,151,5,2018,,,,,,,
5,5,5,RWSnmean,5,2018-06-30,2412.333333333333,1.0,2142.491666666667,2.0,2412.333333333333,2142.491666666667,1.0,4.0,1.0,1.0,3.0,1.0,32.017500000000005,15.166666666666666,0.0,0.0,380.2764214285714,9408.177439913028,62.50350206349426,0.1616666666666666,1.2049999999999998,25829.371781395686,0.0,0.0,83.14462618,0.0,0.0,1.0,1.0,8.162001134483361,316.3022082261616,315.1621437290851,1933.1629097864704,197.37749875515945,11.95125812503678,321.6782968015486,80.83436205521225,3.362422385941916,0.1803151327049093,0.0453955141156183,0.0,0.0,0.0058385117288768,10.76571566450157,4.80013416341399,3.0643526768152327,8.162001134483361,8.153575146858515,8.236647613730556,8.28186636141429,0.0001994409570919,0.0002391433112318,-0.0002988166212513,-0.0002391433112318,-0.0002599992258558,0.0002849051601745,1.1983164407011844,1.2262157601246646,0.6693650778975379,0.3350103410231118,0.0,0.0,1933.1629097864704,197.37749875515945,11.951258125036793,80.83436205521225,299.4420593733592,3.362422385941916,0.0058385117288768,3.3466927393765036e-10,0.0011381070300063,0.1407419855644033,0.0197865737375876,0.0453955141156183,1.1596044858843817,0.0,0.0,0.0,0.0,0.001094660988443,25829.37068673469,0.0001358787132305,62.50336618478102,0.0,0.0,0.0,0.0,0.0379148850173296,1.1237565932780112e-06,7.002660769842212e-10,2.2967979473639443e-14,1.8560146761599998e-09,0.1378771330164727,0.002686340630717,0.024307299514914,8.744376178011294e-07,9.812347818172839e-10,2.7129332824872645e-10,2.617248724954326e-10,2.145140284489108e-07,3.872165884735934e-07,6.06438313571326e-07,0.9963962323307074,0.9832743350001436,0.7442558957238603,1e-07,1e-07,3.906575,52.27535833333334,0.8608333333333333,8.171789843013086,31.54487169056793,17712.0,181,6,2018,,,,,,,
6,6,6,RWSnmean,6,2018-07-31,2396.34,1.0,2177.236842105264,2.0,2396.34,2177.236842105264,1.0,4.0,1.0,1.0,3.0,1.0,32.7005,18.27,0.0,0.0,388.38851000000005,9608.873471503895,63.83683202084154,0.1475,1.0745,26380.36611033121,0.0,0.0,83.14462618,0.0,0.0,1.0,1.0,7.991080455957365,841.6876937096102,838.7438087632509,1976.885135870713,170.77602424841086,29.575681986139337,858.4144139884243,70.105126914118,3.4043787705955544,0.1591368444239396,0.0372120766619247,0.0,0.0,0.0135734496374233,11.110926709309773,4.144840450011819,2.6692959136442944,7.991080455957365,7.982272664841942,8.074843370459398,8.115960677139308,0.0001982680831357,0.0002317610220722,-0.0002804500815758,-0.0002317610220722,-0.0002465819335128,0.0002646441833975,1.1735181064194524,1.1919141574274017,0.7067725188224346,0.2590299885311698,0.0,0.0,1976.885135870713,170.77602424841086,29.5756819861393,70.105126914118,318.8775527851301,3.4043787705955544,0.0135734496374233,9.074446221103847e-10,0.0012661828308395,0.1256992082446789,0.0167188185433526,0.0372120766619247,1.0401563443907067,0.0,0.0,0.0,0.0,0.0028170541244456,26420.720857402328,0.0003326800986128,63.93415905596667,0.0,0.0,0.0,0.0,0.0344933068685087,1.2130180749627012e-06,8.013647071040973e-10,3.136512819945803e-14,2.042083555880754e-09,0.1239596252875211,0.0025670443831443,0.0242798280388512,9.361222853041846e-07,1.152858365795447e-09,3.1048236044095227e-10,3.3721160209375363e-10,2.4226636736884136e-07,3.960732548288639e-07,6.149316379323139e-07,0.9965338090736532,0.9795962589495912,0.7346559062156075,1e-07,1e-07,4.641724999999999,53.004265,0.3964999999999999,8.054504660762822,7.989107447554105,17743.0,212,7,2018,,,,,,,
7,7,7,RWSnmean,7,2018-08-31,2301.4,1.0,2079.2,2.0,2301.4,2079.2,1.0,4.0,1.0,1.0,3.0,1.0,33.06777777777778,19.707222222222224,0.0,0.0,392.7507206349207,9716.796154507574,64.55381952271424,0.3049999999999999,5.453888888888889,26676.65889612857,0.0,0.0,83.14462618,0.0,0.0,1.0,1.0,8.002902816459079,450.4375507717893,448.8789102967805,1902.064702822792,161.8950818310681,15.24021534613949,459.84836748015016,72.1978453660036,3.289673709391964,0.0656019151461389,0.0021538576415545,0.0,0.0,0.0081453394260382,11.375062229223666,3.873307748538745,2.506137818209069,8.002902816459079,7.993904919649479,8.089090813407775,8.125676703737248,0.0001827858132202,0.0002145389412909,-0.0002596436315253,-0.0002145389412909,-0.0002296712901706,0.0002471003332555,1.1737176836166965,1.1854402303989866,0.703987277278805,0.2335157079817268,0.0,0.0,1902.064702822792,161.8950818310681,15.240215346139571,72.1978453660036,340.65164034828206,3.289673709391964,0.0081453394260382,2.2112545984493006e-10,0.0005487791647972,0.0533005258608902,0.006150694753187,0.0021538576415545,0.0678461423584454,0.0,0.0,0.0,0.0,0.0017880435221023,28041.81793933413,0.0002079501632069,67.8571116946267,0.0,0.0,0.0,0.0,0.0330255551853667,1.255512882487506e-06,8.527500878536595e-10,3.595204736348808e-14,2.133998606937684e-09,0.1180072534753401,0.0025154964613226,0.0242676037067452,9.656695656341994e-07,1.2382906885882902e-09,3.297247520613478e-10,3.7658217512059624e-10,2.556045817159426e-07,4.009626698338877e-07,6.198298092967959e-07,0.9965957939251974,0.977733798539749,0.7301438329655348,1e-07,1e-07,4.146405555555556,52.99070555555556,0.825,8.011021021353205,39.405682432876965,17774.0,243,8,2018,,,,,,,
8,8,8,RWSnmean,8,2018-09-30,2385.835714285714,1.0,2161.8571428571427,2.0,2385.835714285714,2161.8571428571427,1.0,4.0,1.0,1.0,3.0,1.0,32.74142857142857,18.310714285714287,0.0,0.0,388.874624489796,9620.900121378563,63.91673142113018,0.3285714285714285,3.977142857142857,26413.384281266168,0.0,0.0,83.14462618,0.0,0.0,1.0,1.0,8.02064871629351,454.9966955231383,453.42066629323017,1979.2645810439064,166.9834439321222,15.609117881114276,464.4709450857416,68.83316033102656,3.300098996606225,0.3599340229031712,0.1208097818112611,0.0,0.0,0.0078794282280937,11.704001465793649,4.051074829292069,2.6091363647756727,8.02064871629351,8.011829299845898,8.104720890219475,8.145820141006759,0.0001850539848018,0.000216682858471,-0.0002614601617321,-0.000216682858471,-0.0002319458357257,0.0002495475848208,1.1704312044835858,1.1840736708470812,0.708984062704859,0.2523946760683001,0.0,0.0,1979.2645810439064,166.9834439321222,15.6091178811143,68.83316033102656,320.0414641587694,3.300098996606225,0.0078794282280937,1.2656319310812767e-09,0.0030890631388754,0.2910307041650392,0.0344516600018819,0.1208097818112611,3.8563330753315954,0.0,0.0,0.0,0.0,0.001682189338514,26413.38259907683,0.0001961372172318,63.91653528391294,0.0,0.0,0.0,0.0,0.0344135458972148,1.214434760366016e-06,8.033386378122767e-10,3.1354366331499664e-14,2.0450273790185827e-09,0.1236277245257028,0.0025653652396141,0.0242855187931671,9.372935008020636e-07,1.1506663726448888e-09,3.107856897672192e-10,3.364904027503264e-10,2.42471094878956e-07,3.968699093514419e-07,6.160764876796695e-07,0.9965361696179064,0.9796024259519556,0.734545701555616,1e-07,1e-07,3.9472785714285714,52.56209285714285,1.0342857142857145,8.020848668685622,43.70831559474164,17804.0,273,9,2018,,,,,,,
9,9,9,RWSnmean,9,2018-10-31,2388.207142857143,1.0,2166.1142857142854,2.0,2388.2071428571426,2166.1142857142854,1.0,4.0,1.0,1.0,3.0,1.0,32.777857142857144,16.080714285714286,0.0,0.0,389.3072918367348,9631.604469434553,63.98784607060175,0.2428571428571428,2.9514285714285715,26442.772182098328,0.0,0.0,83.14462618,0.0,0.0,1.0,1.0,8.05052664046847,418.6346931713103,417.14319488199226,1985.7360354697407,165.05609553142818,15.322154713116062,426.17932081708176,69.15124822270398,2.8602564709014926,0.2657136979591114,0.0907994620883482,0.0,0.0,0.0074602027565097,11.787204618678246,3.996962180581912,2.5610218488625285,8.05052664046847,8.041938328364314,8.128296816041416,8.1711473429986,0.0001838999154935,0.000214899259748,-0.0002585121621485,-0.000214899259748,-0.0002297886726888,0.0002469078501171,1.1683240028226567,1.1807432383063914,0.7119404820636619,0.2676123207425923,0.0,0.0,1985.7360354697407,165.05609553142818,15.322154713116046,69.15124822270398,320.15604361403075,2.8602564709014926,0.0074602027565097,7.897643172618533e-10,0.0021458591964398,0.2157088669930015,0.025002415877937,0.0907994620883482,2.8606291093402234,0.0,0.0,0.0,0.0,0.0014630211320987,26442.7707190772,0.0001783052196635,63.98766776538208,0.0,0.0,0.0,0.0,0.0367247801042726,1.1560068293959277e-06,7.389344341967236e-10,2.5386398274484917e-14,1.923638414544086e-09,0.1348715693383977,0.0026774819995203,0.0244048951078785,8.994398468964017e-07,1.025570448643568e-09,2.8323858904028657e-10,2.8068664606103417e-10,2.2277735787459562e-07,3.981594334523863e-07,6.212386060205032e-07,0.9964377676732524,0.9822846067659085,0.7426795756113732,1e-07,1e-07,3.9472785714285714,52.56209285714285,1.377857142857143,8.052924257135054,43.70831559474164,17835.0,304,10,2018,,,,,,,
