,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,dataset,level_1,datetime,par1,par1_type,par2,par2_type,alkalinity,dic,opt_k_bisulfate,opt_k_carbonic,opt_k_fluoride,opt_total_borate,opt_gas_constant,opt_pH_scale,salinity,temperature,pressure,total_ammonia,total_borate,total_calcium,total_fluoride,total_phosphate,total_silicate,total_sulfate,total_sulfide,peng_correction,gas_constant,total_alpha,total_beta,pressure_atmosphere,pressure_atmosphere_out,pH,pCO2,fCO2,bicarbonate,carbonate,aqueous_CO2,xCO2,alkalinity_borate,hydroxide,alkalinity_phosphate,alkalinity_silicate,alkalinity_ammonia,alkalinity_sulfide,hydrogen_free,revelle_factor,saturation_calcite,saturation_aragonite,pH_total,pH_sws,pH_free,pH_nbs,gamma_dic,beta_dic,omega_dic,gamma_alk,beta_alk,omega_alk,isocapnic_quotient,isocapnic_quotient_approx,psi,substrate_inhibitor_ratio,alkalinity_alpha,alkalinity_beta,HCO3,CO3,CO2,BOH4,BOH3,OH,Hfree,H3PO4,H2PO4,HPO4,PO4,H3SiO4,H4SiO4,NH3,NH4,HS,H2S,HSO4,SO4,HF,F,alpha,alphaH,beta,betaH,k_CO2,k_carbonic_1,k_carbonic_2,k_water,k_borate,k_bisulfate,k_fluoride,k_phosphoric_1,k_phosphoric_2,k_phosphoric_3,k_silicate,k_ammonia,k_sulfide,k_calcite,k_aragonite,fugacity_factor,vp_factor,fH,k_alpha,k_beta,longitude,latitude,total_nitrate,distance_to_shore,datenum,dayofyear,month,year,pH_total_spectro_out,oxygen,normalized_DIC,salinityeffect_DIC,normalized_TA,salinityeffect_TA,sc_dic,ms_dic,dic_corrected,dic_correctd_final,predicted_alkalinity,predicted_pCO2_air,predicted_fCO2_sea
0,0,0,0,0,0,Cefasmean,0,2014-05-31,2302.6950802168967,1.0,2106.574232343972,2.0,2302.6950802168967,2106.574232343972,1.0,4.0,1.0,1.0,3.0,1.0,34.7912935240964,12.410762103466666,0.0,0.0,413.2211633704821,10223.242378036886,67.91840982509545,0.074,0.6629833333333334,28067.06504847505,0.0,0.0,83.14462618,0.0,0.0,1.0,1.0,8.037249162082675,411.7257979428937,410.18942610230187,1946.5552331492256,143.35667719664409,16.662321998101618,417.5528357915844,67.33703229402651,2.0032711958590523,0.0793244070503908,0.0162793689724611,0.0,0.0,0.0078755660363925,12.2882313071875,3.4192264645412576,2.1835631401251425,8.037249162082675,8.02889194695596,8.106380976443447,8.147388749746712,0.0001718760462745,0.0001985393291882,-0.0002351034823042,-0.0001985393291882,-0.0002105806920796,0.0002242056497226,1.1544565999042422,1.1591183730585393,0.7326691558824608,0.2498938862335287,0.0,0.0,1946.5552331492256,143.35667719664409,16.662321998101614,67.33703229402651,345.8841310764556,2.0032711958590523,0.0078755660363925,2.7782578127766367e-10,0.0007315049155577,0.0672125822850163,0.0060559125216001,0.0162793689724611,0.6467039643608722,0.0,0.0,0.0,0.0,0.0013595711711376,28067.063688903883,0.0001794543183107,67.91823037077714,0.0,0.0,0.0,0.0,0.0406383577504022,1.0799960578022254e-06,6.728508611959411e-10,1.8296037226116662e-14,1.779480493537347e-09,0.1626840445110603,0.0029812922438449,0.0248628729546238,8.561045111230015e-07,8.287153719744586e-10,2.44172615773701e-10,2.0475745078502399e-10,1.932058515103017e-07,4.28613396270163e-07,6.711575273456207e-07,0.9962677704938896,0.9860578242388656,0.7612087304890487,1e-07,1e-07,2.83397222222222,55.03111111111112,0.0583333333333333,214.1533701999886,16221.0,151,5,2014,,,2156.720472325394,-50.146239981421786,2357.2522231583384,-54.557142941441725,2107.924840553827,48.79563177156615,2139.5105,2189.0956317715663,2366.8589389440617,397.580259066836,354.7116854607234
1,1,1,1,1,1,Cefasmean,1,2014-06-30,2313.64125330008,1.0,2106.40107664895,2.0,2313.64125330008,2106.40107664895,1.0,4.0,1.0,1.0,3.0,1.0,34.6319990240964,13.238912144,0.0,0.0,411.32919983762497,10176.434509802257,67.60744038308864,0.0891,0.5273,27938.557923832857,0.0,0.0,83.14462618,0.0,0.0,1.0,1.0,8.05043324266918,397.5669058658857,396.09874273372,1939.8639389766631,150.84125340739106,15.69588426489593,403.505837417723,69.76826674708386,2.2249178988716154,0.0961282768974582,0.0145728432304602,0.0,0.0,0.0075557197257729,11.939170703428656,3.6020983764601424,2.30351200832622,8.05043324266918,8.041997480642186,8.121724160306554,8.162546112101415,0.0001764277544037,0.0002049100893076,-0.000244359217294,-0.0002049100893076,-0.0002180569918456,0.0002330065453433,1.161439083097678,1.168244894705968,0.7220016349594449,0.2567411192291428,0.0,0.0,1939.8639389766631,150.84125340739106,15.69588426489593,69.76826674708386,341.56093309054114,2.2249178988716154,0.0075557197257729,2.953061908986369e-10,0.0008232543762535,0.0804252134641161,0.0078515318643241,0.0145728432304602,0.5127271567695397,0.0,0.0,0.0,0.0,0.0013479030994768,27938.55657592976,0.000174634623554,67.6072657484651,0.0,0.0,0.0,0.0,0.0396261905720001,1.1004042002099457e-06,6.92333936237312e-10,1.980982993338636e-14,1.818680875484701e-09,0.1566105924916375,0.0029250874827984,0.0248215131779943,8.698110720206083e-07,8.69218443071318e-10,2.530607143586587e-10,2.1954091344438867e-10,1.9984077601409005e-07,4.26147755071949e-07,6.663851245959791e-07,0.9963071294151908,0.9852816712892084,0.7576198913002035,1e-07,1e-07,2.69733333333333,54.4458333333333,0.0391,184.380369215538,16251.0,181,6,2014,,,2152.6960950234943,-46.29501837454427,2363.4289514563907,-49.78769815631085,2138.6828616863554,14.0132333371389,2139.5255,2154.313233337139,2366.832763609157,393.7542255937537,335.8119884310892
2,2,2,2,2,2,Cefasmean,3,2014-08-31,2337.701118400435,1.0,2116.8002535040787,2.0,2337.701118400435,2116.8002535040787,1.0,4.0,1.0,1.0,3.0,1.0,34.62166666666666,17.251639560711112,0.0,0.0,411.20648095238096,10173.398399797685,67.58726989745016,0.1227676470588235,1.814141176470588,27930.22253532873,0.0,0.0,83.14462618,0.0,0.0,1.0,1.0,8.013786426696878,446.63514658231446,445.07530826590624,1932.960103110088,165.30491461038935,15.485646393048889,455.6380210076762,72.51945120421736,3.256051717315638,0.1329849202372311,0.0545252395810398,0.0,0.0,0.0080091038957892,11.471540334944478,3.9588831036216607,2.558648098753548,8.013786426696878,8.004865717055573,8.098181247889508,8.13550473897253,0.0001849986003982,0.000217343662629,-0.0002635663416599,-0.000217343662629,-0.0002329136353272,0.0002509294421148,1.173897602036692,1.1870297190028614,0.7041219686440887,0.2428339359444878,0.0,0.0,1932.960103110088,165.30491461038935,15.485646393048894,72.51945120421736,338.5177222411608,3.256051717315638,0.0080091038957892,5.27183291537585e-10,0.0012390395761598,0.1100722931465462,0.0114563138089341,0.0545252395810398,1.7596159368895483,0.0,0.0,0.0,0.0,0.0017106737389043,27918.721014786875,0.0002014706067703,67.55924047981065,0.0,0.0,0.0,0.0,0.0353530707328823,1.208010163159101e-06,8.112395450530186e-10,3.019550994905159e-14,2.0412677338029715e-09,0.1346523440273793,0.0027152180615384,0.0246583109540508,9.422963795370664e-07,1.0916214089531147e-09,3.021798855713731e-10,3.132321664781656e-10,2.349919246433629e-07,4.249522544384873e-07,6.585039854108367e-07,0.9964865580765084,0.9806734316441152,0.7423625084508791,1e-07,1e-07,4.228089814814815,54.04601759259259,0.1014333333333333,121.73297964380322,16313.0,243,8,2014,,,2162.3053551343864,-45.50510163030776,2385.972846140241,-48.27172773980601,2140.8083836768174,21.49697145756909,2139.5565,2161.7969714575693,2366.83106579212,383.49736767949264,319.5633782066185
3,3,3,3,3,3,Cefasmean,12,2015-05-31,2318.30336087092,1.0,2109.0174163293,2.0,2318.30336087092,2109.0174163293,1.0,4.0,1.0,1.0,3.0,1.0,34.77011478125,9.041895267,0.0,0.0,412.9696204161608,10217.01911355174,67.87706538542334,0.1361035336294949,0.5958494606009789,28049.979591370586,0.0,0.0,83.14462618,0.0,0.0,1.0,1.0,8.118258156982586,330.31015358124483,329.02259868780027,1943.888247565047,150.20409400571748,14.92507475853535,334.03040570072,72.14666957606107,1.7059894315673858,0.1460694275973582,0.0159543406093874,0.0,0.0,0.0066263100128344,11.968604580048064,3.583578511475024,2.2748628252329848,8.118258156982586,8.110279238799516,8.178728249451074,8.221529238970637,0.000176212473411,0.0002046109347089,-0.000243921387266,-0.0002046109347089,-0.0002177353244652,0.0002326587921307,1.161160335293817,1.1670141040095978,0.7224150181584748,0.2933590857958564,0.0,0.0,1943.888247565047,150.20409400571748,14.925074758535269,72.14666957606107,340.8229508400996,1.7059894315673858,0.0066263100128344,3.6329395364626597e-10,0.0011873051730851,0.1237630282255795,0.0111531998675363,0.0159543406093874,0.5798951199915914,0.0,0.0,0.0,0.0,0.0009899513843831,28049.978601419203,0.0001412199999215,67.87692416542342,0.0,0.0,0.0,0.0,0.045361853009669,9.919656234809198e-07,5.885079296922441e-10,1.2993261511311396e-14,1.6122385408499402e-09,0.1877545271399259,0.0031849139108322,0.0248912113928878,7.939084238569398e-07,6.863575270751253e-10,2.0954207902372147e-10,1.540187022411942e-10,1.673044174226819e-07,4.282417964266872e-07,6.746068740355651e-07,0.9961019820932394,0.9888625344999028,0.7740161097414144,1e-07,1e-07,2.505,52.4236666666667,4.08613161630149,50.36396535267298,16586.0,151,5,2015,,,2158.516115468168,-49.49869913886778,2371.4332842845847,-53.12992341366453,2107.924840553827,50.59127491434128,2139.693,2190.891274914341,2366.855458844706,399.7523551238952,356.7156077367092
4,4,4,4,4,4,Cefasmean,15,2015-08-31,2324.5389539454613,1.0,2108.3582771313777,2.0,2324.5389539454613,2108.358277131377,1.0,4.0,1.0,1.0,3.0,1.0,34.585125,16.395961,0.0,0.0,410.7724703571429,10162.66081928858,67.51593446720409,0.1447625,2.4197375,27900.74339754954,0.0,0.0,83.14462618,0.0,0.0,1.0,1.0,8.018727734155073,438.4989241211951,436.9441824915373,1934.4841660611464,158.13932565019417,15.734785420037054,446.64372200711534,70.70802632336853,2.849065425045192,0.1575560138365801,0.0713027288748626,0.0,0.0,0.0079928245226356,11.683132387032495,3.783773537496657,2.4366656920869563,8.018727734155073,8.00995614638171,8.098962800869632,8.137516047931737,0.0001807835024003,0.0002112119006099,-0.0002540603942037,-0.0002112119006099,-0.000225563914089,0.0002420353417723,1.167809626620366,1.1778893220849969,0.712816352560272,0.2435938515731225,0.0,0.0,1934.4841660611464,158.13932565019417,15.734785420037037,70.70802632336853,340.06444403377435,2.849065425045192,0.0079928245226356,5.108064596967195e-10,0.0013249363522004,0.1293191119265996,0.0141184512103934,0.0713027288748626,2.348434771125137,0.0,0.0,0.0,0.0,0.0016247201610948,27900.74177282938,0.0001963625147119,67.51573810468938,0.0,0.0,0.0,0.0,0.0361050573371974,1.184283950949552e-06,7.82380284552223e-10,2.7303068508845173e-14,1.9892455938616488e-09,0.1382684403720673,0.0027536281936225,0.0247026089670728,9.266052106220732e-07,1.0366307822763875e-09,2.9051891040087364e-10,2.8801750367903206e-10,2.2689216409778945e-07,4.247856783986993e-07,6.597478908049797e-07,0.9964506884275128,0.9818479146851944,0.7455245914563682,1e-07,1e-07,4.465647916666665,54.15286041666666,0.3329142857142857,120.30397630845177,16678.0,243,8,2015,,,2153.411046511128,-45.052769379751226,2372.5443813051224,-48.0054273596611,2140.8083836768174,12.60266283431065,2139.739,2152.902662834311,2366.8250612510783,385.6867778967811,321.3820091764513
5,5,5,5,5,5,D366mean,0,2011-06-30,2097.995238095238,2.0,2322.709523809524,1.0,2322.709523809524,2097.995238095238,1.0,4.0,1.0,1.0,3.0,1.0,34.363158945686905,15.058067092651758,0.0,0.0,408.1361478206298,10097.43723766556,67.08261969453962,0.0823809523809523,1.4019047619047618,27721.677457369875,0.0,0.0,83.14462618,0.0,0.0,1.0,1.0,8.059659191484181,391.4046144032441,389.9919172996628,1920.311237964666,163.04044730976284,14.643552820809331,397.9971554430378,73.473171859114,2.719923163268662,0.0898183541674276,0.0433865662553612,0.0,0.0,0.0073289251648097,11.470776993684243,3.902478220038857,2.504217422997972,8.059659191484181,8.05104539898815,8.135848289253758,8.175893514992216,0.0001830939367455,0.0002148582796063,-0.0002600293817599,-0.0002148582796063,-0.0002301094439887,0.0002477107991035,1.1731483745993232,1.1850091364360655,0.7049422978068473,0.263001609900916,0.0,0.0,1920.311237964666,163.04044730976284,14.64355282080934,73.473171859114,335.0779192973486,2.719923163268662,0.0073289251648097,2.5668335418268987e-10,0.0007172560917767,0.0735090376408735,0.0081546583916187,0.0433865662553612,1.3585181956494006,0.0,0.0,0.0,0.0,0.0014048426495644,27749.86009204557,0.0001749496588682,67.1506462167207,0.0,0.0,0.0,0.0,0.0375399875726279,1.146121801433331e-06,7.38276557017704e-10,2.363173475302514e-14,1.9089354992842113e-09,0.1446831882551506,0.0028109548775637,0.024724795924143,9.001737779226138e-07,9.63421951470637e-10,2.7359666699982835e-10,2.560531658758149e-10,2.14949984894134e-07,4.2180970746868587e-07,6.574021788300256e-07,0.9963913927954234,0.9834212949796742,0.7500509601413886,1.0000000000000001e-07,1.0000000000000001e-07,4.749184904153355,54.3244251597444,0.2657142857142857,126.52150117023812,15155.0,181,6,2011,,,2138.0680351093724,-40.07279701413427,2364.9974746269213,-42.28795081739736,2138.6828616863554,-0.6148265769829777,2138.9775,2139.685173423017,2366.7885877017143,387.3562528557307,330.4804785326804
6,6,6,6,6,6,D366mean,1,2011-07-31,2097.3,2.0,2313.9,1.0,2313.9,2097.3,1.0,4.0,1.0,1.0,3.0,1.0,34.95,13.84656050955414,0.0,0.0,415.10614285714286,10269.87745841994,68.22823134595532,0.0499999999999999,0.0999999999999999,28195.09779838461,0.0,0.0,83.14462618,0.0,0.0,1.0,1.0,8.05701969412867,389.9799165737009,388.5505849424392,1925.5128656238087,156.69767777543075,15.089456600760922,396.0367362173719,72.53710507641875,2.406598408886952,0.0541382968912532,0.0028805118615582,0.0,0.0,0.0074117161435914,11.645723736623514,3.7347526749626847,2.392415903730231,8.05701969412867,8.048493982547093,8.130081221791418,8.169858222527047,0.0001800918558117,0.0002103105694422,-0.0002527151976428,-0.0002103105694422,-0.0002245105912002,0.0002407670104371,1.1677961143455715,1.1766304552910352,0.7126277227945668,0.2597931205566617,0.0,0.0,1925.5128656238087,156.69767777543075,15.089456600760922,72.53710507641875,342.5690377807241,2.406598408886952,0.0074117161435914,1.5745038448895732e-10,0.0004462594700485,0.0449691836962985,0.0045845566762025,0.0028805118615582,0.0971194881384417,0.0,0.0,0.0,0.0,0.0013578943143323,28195.09644049029,0.0001738582701248,68.22805748768519,0.0,0.0,0.0,0.0,0.0388154004832811,1.119500345263673e-06,7.14126777570724e-10,2.1139495354272243e-14,1.8577939493779307e-09,0.1537909480122626,0.0029076871280245,0.024855155761253,8.840107346772746e-07,8.94865851822219e-10,2.6029017455591526e-10,2.305311243809337e-10,2.0496150990317844e-07,4.308875850913213e-07,6.726270523987875e-07,0.9963356308636144,0.984689921406979,0.7561348557256609,1e-07,1e-07,3.625759872611465,56.49572547770701,0.19,251.05101434247428,15186.0,212,7,2011,,,2151.819873128523,-54.519873128522704,2371.923576946365,-58.02357694636476,2153.941759195971,-2.121886067448031,2138.993,2138.178113932552,2366.885017654616,382.5129413698934,318.1630916514997
7,7,7,7,7,7,RWSnmean,0,2018-01-31,2356.2625,1.0,2208.19375,2.0,2356.2625,2208.19375,1.0,4.0,1.0,1.0,3.0,1.0,32.381875,6.268125,0.0,0.0,384.6041553571429,9515.24715662009,63.21482285882136,0.644375,16.963124999999998,26123.322818886,0.0,0.0,83.14462618,0.0,0.0,1.0,1.0,8.041966711710419,418.1370814705207,416.4460941883243,2073.057744891076,113.98538432892724,21.150620779996743,422.0261881367965,53.2224639535952,1.0468712242651623,0.674860527954097,0.2990638081873067,0.0,0.0,0.0080709017667171,14.585152744053737,2.751949924169873,1.730847309919505,8.041966711710419,8.034505012226706,8.094937661757271,8.144052543509929,0.0001524353934497,0.0001708908978555,-0.0001945578105358,-0.0001708908978555,-0.0001782388158053,0.0001862752215166,1.119898867922347,1.1174112005812398,0.786297710308269,0.2582837263527022,0.0,0.0,2073.057744891076,113.98538432892724,21.150620779996743,53.2224639535952,331.3816914035477,1.0468712242651623,0.0080709017667171,3.079477429145491e-09,0.0078941529142515,0.5981011569789676,0.0383796870273034,0.2990638081873067,16.664061191812692,0.0,0.0,0.0,0.0,0.0010445271550248,26123.321774358843,0.0001576340105659,63.2146652248108,0.0,0.0,0.0,0.0,0.0506441602501855,9.00532410779248e-07,4.976661412591501e-10,9.42839460445144e-15,1.439192965829696e-09,0.2010975235042439,0.003222459516829,0.0244943098810033,7.216985263568684e-07,5.955048864462598e-10,1.8155926138217223e-10,1.232675012392598e-10,1.466498330667498e-07,3.94060288484738e-07,6.265461510807706e-07,0.9959578211178588,0.990762831911989,0.7770908260142375,1e-07,1e-07,3.88194375,52.86004375,31.16625,53.50085632110021,17562.0,31,1,2018,8.045460056519083,,2197.299842384484,10.893907615516127,2343.622248748429,12.64025125157059,2208.4132497129767,-11.11340732849294,2140.181,2129.1865926715072,2366.4630223443446,408.7852170179817,417.00731759448433
8,8,8,8,8,8,RWSnmean,1,2018-02-28,2369.1,1.0,2224.35,2.0,2369.1,2224.35,1.0,4.0,1.0,1.0,3.0,1.0,31.965714285714284,5.707857142857143,0.0,0.0,379.6613551020408,9392.960474539324,62.40240770885331,0.6807142857142857,14.288571428571428,25787.594863546045,0.0,0.0,83.14462618,0.0,0.0,1.0,1.0,8.047748368526694,413.0921204115215,411.409531460508,2090.746140250908,112.2619371873144,21.341922561777835,416.7921155171243,51.87397092720374,0.9886447866453626,0.7127854190293234,0.2637065646023567,0.0,0.0,0.0079657448075802,14.795278751347594,2.717430549087449,1.7055764468311618,8.047748368526694,8.040386997754451,8.099315659043153,8.149520980116852,0.0001510344729554,0.0001688400184069,-0.0001914871578599,-0.0001688400184069,-0.0001758441955804,0.0001834712653841,1.1171361294757038,1.1143081451716297,0.7905591520821444,0.2627876592478795,0.0,0.0,2090.746140250908,112.2619371873144,21.34192256177781,51.87397092720374,327.7873841748371,0.9886447866453626,0.0079657448075802,3.0629694004100992e-09,0.0081906091803282,0.6322619248496834,0.0402617486213047,0.2637065646023567,14.024864863969071,0.0,0.0,0.0,0.0,0.0010033693390111,25787.59386017671,0.0001532088705721,62.40225449998273,0.0,0.0,0.0,0.0,0.0517879555561637,8.830191535072215e-07,4.814513178335033e-10,8.831748798359972e-15,1.406986664046717e-09,0.2042061057372004,0.0032341900145991,0.0244188148603101,7.0789664655849e-07,5.773921374131661e-10,1.7630151073935412e-10,1.1774999799120735e-10,1.426814657954585e-07,3.881857047340377e-07,6.183031138126152e-07,0.995927876699686,0.9911111503900368,0.7778380608687036,1e-07,1e-07,3.9472785714285714,52.56209285714285,28.98785714285714,43.70831559474164,17590.0,59,2,2018,8.057539546963184,,2203.4949154212413,20.85508457875858,2344.742051278742,24.3579487212578,2190.4844376784267,13.0104777428146,2140.195,2153.310477742815,2366.39463865206,410.1812459116111,445.9792341287813
9,9,9,9,9,9,RWSnmean,2,2018-03-31,2388.178571428572,1.0,2200.035714285714,2.0,2388.178571428572,2200.035714285714,1.0,4.0,1.0,1.0,3.0,1.0,32.53285714285714,4.485714285714286,0.0,0.0,386.3973918367347,9559.612481528602,63.50956519278317,0.1792857142857142,5.565714285714286,26245.12414316831,0.0,0.0,83.14462618,0.0,0.0,1.0,1.0,8.164293566301948,306.3739322135415,305.1060992515257,2044.828116210408,138.76284303021512,16.444755045091345,308.8956754988152,64.36520771672687,1.1463227464564676,0.189485771883402,0.130770715399337,0.0,0.0,0.0061592972409553,13.119632827694948,3.355967798554237,2.106122976720304,8.164293566301948,8.157016931435697,8.21362793425275,8.26278886879473,0.0001681431123332,0.0001923319897253,-0.0002247530814229,-0.0001923319897253,-0.0002031269167185,0.0002152312949459,1.1432157752821586,1.1458319358282243,0.7497086585949184,0.3365278120681899,0.0,0.0,2044.828116210408,138.76284303021512,16.444755045091416,64.36520771672687,322.03218412000786,1.1463227464564676,0.0061592972409553,5.562340029142609e-10,0.0017921479008971,0.1655013592175302,0.0119922066110529,0.130770715399337,5.434943570314949,0.0,0.0,0.0,0.0,0.0007417353544861,26245.12340143296,0.0001167601372646,63.50944843264591,0.0,0.0,0.0,0.0,0.0539237922120301,8.58887935764696e-07,4.638472153984641e-10,7.820018859250716e-15,1.36577992035765e-09,0.2181599387247352,0.0033523395479845,0.0245065590346353,6.928080138669233e-07,5.413914773143334e-10,1.6678175839339395e-10,1.0555020133189744e-10,1.3510286118999236e-07,3.956023182736385e-07,6.300901540825299e-07,0.9958615669740052,0.9918386243816047,0.7838657388581144,1e-07,1e-07,3.9472785714285714,52.56209285714285,20.243571428571425,43.70831559474164,17621.0,90,3,2018,8.192034379721242,,2192.7739269302424,7.261787355471824,2380.1302385751324,8.04833285343966,2178.621930068276,14.151996861966836,2140.2105,2154.451996861967,2366.4878317894536,410.2790013109096,416.1209106019605
