,Unnamed: 0,cruise,region,station,cast,year,month,day,hour,minute,latitude,longitude,bottomdepth,maxsampdepth,bottle,pressure,depth,temperature,theta,salinity,salinityf,salinityqc,sigma0,sigma1,sigma2,sigma3,sigma4,gamma,oxygen,oxygenf,oxygenqc,aou,aouf,nitrate,nitratef,nitrateqc,nitrite,nitritef,silicate,silicatef,silicateqc,phosphate,phosphatef,phosphateqc,DIC,tco2f,tco2qc,TA,talkf,talkqc,fco2,fco2f,fco2temp,phts25p0,phts25p0f,phtsinsitutp,phtsinsitutpf,phtsqc,cfc11,pcfc11,cfc11f,cfc11qc,cfc12,pcfc12,cfc12f,cfc12qc,cfc113,pcfc113,cfc113f,cfc113qc,ccl4,pccl4,ccl4f,ccl4qc,sf6,psf6,sf6f,c13,c13f,c13qc,c14,c14f,c14err,h3,h3f,h3err,he3,he3f,he3err,he,hef,heerr,neon,neonf,neonerr,o18,o18f,toc,tocf,doc,docf,don,donf,tdn,tdnf,chla,chlaf,datetime,distance_to_shore,datenum,dayofyear
0,0,661,1,3.0,1,2001,9,5,15.0,36.0,51.5,3.0004,28.0,24.184,8.0,5.0381,5.0,19.0,18.999,32.877,2,0,23.401,27.702,31.908,36.023,40.048,23.3746937647512,252.23,2,0,-19.252,2,0.87033,2,0,0.097789,2,6.0717,2,0,0.44005,2,0,2100.5,2,0,2368.5,2,0,379.93,0,20.0,8.0056,0,8.0962,0,0,,,9,0,,,9,0,,,9,0,,,9,0,,,9,,9,0,,9,,,9,,,9,,,9,,,9,,,9,,9,,9,,9,,9,,9,2001-09-05 15:36:00,20.835638768033863,11570.65,248
1,1,661,1,3.0,1,2001,9,5,15.0,36.0,51.5,3.0004,28.0,24.184,6.0,10.076,10.0,19.0,18.998,32.882,2,0,23.405,27.706,31.912,36.027,40.052,23.3786497487557,254.12,2,0,-21.153,2,1.1148,2,0,0.11735,2,6.0678,2,0,0.43027,2,0,2109.3,2,0,2369.4,2,0,395.71,0,20.0,7.9911,0,8.0814,0,0,,,9,0,,,9,0,,,9,0,,,9,0,,,9,,9,0,,9,,,9,,,9,,,9,,,9,,,9,,9,,9,,9,,9,,9,2001-09-05 15:36:00,20.835638768033863,11570.65,248
2,2,661,1,3.0,1,2001,9,5,15.0,36.0,51.5,3.0004,28.0,24.184,3.0,15.115,15.0,19.0,18.997,32.93,2,0,23.442,27.742,31.948,36.063,40.088,23.416003328655,251.91,2,0,-19.005,2,1.2028,2,0,0.12712,2,6.0735,2,0,0.44003,2,0,2108.3,2,0,2370.3,2,0,392.72,0,20.0,7.9938,0,8.0839,0,0,,,9,0,,,9,0,,,9,0,,,9,0,,,9,,9,0,,9,,,9,,,9,,,9,,,9,,,9,,9,,9,,9,,9,,9,2001-09-05 15:36:00,20.835638768033863,11570.65,248
3,3,661,1,3.0,1,2001,9,5,15.0,36.0,51.5,3.0004,28.0,24.184,1.0,24.184,24.0,19.0,18.996,32.052,2,0,22.772,27.078,31.29,35.409,39.439,22.7343687158701,253.54,2,0,-19.255,2,1.3699,2,0,0.13699,2,6.0324,2,0,0.44032,2,0,2116.5,2,0,2370.9,2,0,399.06,0,20.0,7.9911,0,8.0809,0,0,,,9,0,,,9,0,,,9,0,,,9,0,,,9,,9,0,,9,,,9,,,9,,,9,,,9,,,9,,9,,9,,9,,9,,9,2001-09-05 15:36:00,20.835638768033863,11570.65,248
4,4,661,1,4.0,1,2001,9,5,19.0,39.0,51.983,3.499,28.0,24.184,8.0,5.0381,5.0,18.7,18.699,33.765,2,0,24.154,28.455,32.66,36.774,40.799,24.1236943256322,249.15,2,0,-16.272,2,0.12704,2,0,0.019545,2,1.0105,2,0,0.058635,2,0,2076.7,2,0,2345.4,2,0,379.17,0,20.0,7.9999,0,8.095,0,0,,,9,0,,,9,0,,,9,0,,,9,0,,,9,,9,0,,9,,,9,,,9,,,9,,,9,,,9,,9,,9,,9,,9,,9,2001-09-05 19:39:00,31.150689166216434,11570.81875,248
5,5,661,1,4.0,1,2001,9,5,19.0,39.0,51.983,3.499,28.0,24.184,6.0,10.076,10.0,18.7,18.698,33.766,2,0,24.155,28.456,32.661,36.775,40.8,24.1245514479635,248.5,2,0,-15.615,2,0.019545,2,0,0.0097725,2,1.0105,2,0,0.058635,2,0,2075.7,2,0,2343.4,2,0,380.45,0,20.0,7.9983,0,8.0933,0,0,,,9,0,,,9,0,,,9,0,,,9,0,,,9,,9,0,,9,,,9,,,9,,,9,,,9,,,9,,9,,9,,9,,9,,9,2001-09-05 19:39:00,31.150689166216434,11570.81875,248
6,6,661,1,4.0,1,2001,9,5,19.0,39.0,51.983,3.499,28.0,24.184,3.0,15.115,15.0,18.7,18.697,33.768,2,0,24.157,28.457,32.663,36.777,40.802,24.126193716498,248.57,2,0,-15.692,2,0.0,2,0,0.0097725,2,1.0154,2,0,0.068407,2,0,2074.7,2,0,2346.4,2,0,373.88,0,20.0,8.005,0,8.0999,0,0,,,9,0,,,9,0,,,9,0,,,9,0,,,9,,9,0,,9,,,9,,,9,,,9,,,9,,,9,,9,,9,,9,,9,,9,2001-09-05 19:39:00,31.150689166216434,11570.81875,248
7,7,661,1,4.0,1,2001,9,5,19.0,39.0,51.983,3.499,28.0,24.184,1.0,24.184,24.0,18.7,18.696,33.769,2,0,24.158,28.459,32.664,36.778,40.803,24.127108958279,247.99,2,0,-15.1,2,-0.0097725,2,0,0.0097725,2,1.032,2,0,0.11727,2,0,2074.7,2,0,2345.4,2,0,375.53,0,20.0,8.0033,0,8.0978,0,0,,,9,0,,,9,0,,,9,0,,,9,0,,,9,,9,0,,9,,,9,,,9,,,9,,,9,,,9,,9,,9,,9,,9,,9,2001-09-05 19:39:00,31.150689166216434,11570.81875,248
8,8,661,1,6.0,1,2001,9,3,20.0,51.0,52.583,2.5,55.347,45.347,10.0,5.0381,5.0,18.2,18.199,34.218,2,0,24.625,28.931,33.142,37.261,41.29,24.63689560283,233.33,2,0,1.0059,2,1.5826,2,0,0.15631,2,1.5728,2,0,0.16608,2,0,2098.4,2,0,2317.3,2,0,486.99,0,20.0,7.9034,0,8.0048,0,0,,,9,0,,,9,0,,,9,0,,,9,0,,,9,,9,0,,9,,,9,,,9,,,9,,,9,,,9,,9,,9,,9,,9,,9,2001-09-03 20:51:00,50.622502692940486,11568.86875,246
9,9,661,1,6.0,1,2001,9,3,20.0,51.0,52.583,2.5,55.347,45.347,8.0,10.076,10.0,18.2,18.198,34.219,2,0,24.626,28.932,33.143,37.261,41.291,24.6377177583231,233.23,2,0,1.1059,2,1.5728,2,0,0.15631,2,1.564,2,0,0.16608,2,0,2097.4,2,0,2317.3,2,0,484.34,0,20.0,7.9053,0,8.0066,0,0,,,9,0,,,9,0,,,9,0,,,9,0,,,9,,9,0,,9,,,9,,,9,,,9,,,9,,,9,,9,,9,,9,,9,,9,2001-09-03 20:51:00,50.622502692940486,11568.86875,246
10,10,661,1,6.0,1,2001,9,3,20.0,51.0,52.583,2.5,55.347,45.347,6.0,19.145,19.0,18.2,18.197,34.219,2,0,24.627,28.932,33.143,37.262,41.292,24.6378090822806,233.33,2,0,1.015,2,1.5435,2,0,0.14654,2,1.566,2,0,0.16608,2,0,2097.4,2,0,2318.2,2,0,482.32,0,20.0,7.907,0,8.008,0,0,,,9,0,,,9,0,,,9,0,,,9,0,,,9,,9,0,,9,,,9,,,9,,,9,,,9,,,9,,9,,9,,9,,9,,9,2001-09-03 20:51:00,50.622502692940486,11568.86875,246
11,11,661,1,6.0,1,2001,9,3,20.0,51.0,52.583,2.5,55.347,45.347,3.0,28.215,28.0,18.2,18.195,34.243,2,0,24.645,28.951,33.161,37.28,41.31,24.6564179205333,233.47,2,0,0.84151,2,1.4458,2,0,0.13677,2,1.5357,2,0,0.1563,2,0,2094.5,2,0,2319.2,2,0,472.83,0,20.0,7.9144,0,8.0152,0,0,,,9,0,,,9,0,,,9,0,,,9,0,,,9,,9,0,,9,,,9,,,9,,,9,,,9,,,9,,9,,9,,9,,9,,9,2001-09-03 20:51:00,50.622502692940486,11568.86875,246
12,12,661,1,6.0,1,2001,9,3,20.0,51.0,52.583,2.5,55.347,45.347,1.0,45.347,45.0,18.2,18.192,34.256,2,0,24.656,28.962,33.172,37.291,41.321,24.6666208255257,232.93,2,0,1.3734,2,1.4458,2,0,0.13677,2,1.5347,2,0,0.1563,2,0,2092.5,2,0,2319.1,2,0,468.12,0,20.0,7.918,0,8.0182,0,0,,,9,0,,,9,0,,,9,0,,,9,0,,,9,,9,0,,9,,,9,,,9,,,9,,,9,,,9,,9,,9,,9,,9,,9,2001-09-03 20:51:00,50.622502692940486,11568.86875,246
13,13,661,1,7.0,1,2001,9,6,0.0,19.0,52.597,3.4984,29.0,28.215,8.0,5.0381,5.0,18.0,17.999,34.36,2,0,24.783,29.091,33.304,37.425,41.457,24.7721377311167,239.67,2,0,-4.6876,2,0.058609,2,0,0.0097682,2,2.3864,2,0,0.048841,2,0,2072.8,2,0,,9,0,,9,,,9,,9,0,,,9,0,,,9,0,,,9,0,,,9,0,,,9,,9,0,,9,,,9,,,9,,,9,,,9,,,9,,9,,9,,9,,9,,9,2001-09-06 00:19:00,74.33471754010479,11571.013194444444,249
14,14,661,1,7.0,1,2001,9,6,0.0,19.0,52.597,3.4984,29.0,28.215,6.0,10.076,10.0,18.0,17.998,34.36,2,0,24.783,29.091,33.304,37.426,41.458,24.772192091609,239.73,2,0,-4.7425,2,0.048841,2,0,0.0097682,2,2.3746,2,0,0.058609,2,0,2072.8,2,0,,9,0,,9,,,9,,9,0,,,9,0,,,9,0,,,9,0,,,9,0,,,9,,9,0,,9,,,9,,,9,,,9,,,9,,,9,,9,,9,,9,,9,,9,2001-09-06 00:19:00,74.33471754010479,11571.013194444444,249
15,15,661,1,7.0,1,2001,9,6,0.0,19.0,52.597,3.4984,29.0,28.215,3.0,20.153,20.0,18.0,17.997,34.36,2,0,24.784,29.092,33.305,37.426,41.458,24.7723012146902,239.89,2,0,-4.8913,2,0.039073,2,0,0.0097682,2,2.3971,2,0,0.058609,2,0,2072.8,2,0,,9,0,,9,,,9,,9,0,,,9,0,,,9,0,,,9,0,,,9,0,,,9,,9,0,,9,,,9,,,9,,,9,,,9,,,9,,9,,9,,9,,9,,9,2001-09-06 00:19:00,74.33471754010479,11571.013194444444,249
16,16,661,1,7.0,1,2001,9,6,0.0,19.0,52.597,3.4984,29.0,28.215,1.0,28.215,28.0,18.1,18.095,34.36,2,0,24.76,29.066,33.278,37.397,41.428,24.7471368518667,239.76,2,0,-5.1965,2,0.087914,2,0,0.0097682,2,2.3795,2,0,0.078145,2,0,2071.8,2,0,,9,0,,9,,,9,,9,0,,,9,0,,,9,0,,,9,0,,,9,0,,,9,,9,0,,9,,,9,,,9,,,9,,,9,,,9,,9,,9,,9,,9,,9,2001-09-06 00:19:00,74.33471754010479,11571.013194444444,249
17,17,661,1,8.0,1,2001,9,6,3.0,0.0,52.6,4.1,29.0,20.153,8.0,5.0381,5.0,18.2,18.199,34.102,2,0,24.537,28.843,33.054,37.174,41.204,24.5043944798346,237.66,2,0,-3.1394,2,0.08793,2,0,0.02931,2,3.231,2,0,0.10747,2,0,2087.9,2,0,,9,0,,9,,,9,,9,0,,,9,0,,,9,0,,,9,0,,,9,0,,,9,,9,0,,9,,,9,,,9,,,9,,,9,,,9,,9,,9,,9,,9,,9,2001-09-06 03:00:00,34.99025963758444,11571.125,249
18,18,661,1,8.0,1,2001,9,6,3.0,0.0,52.6,4.1,29.0,20.153,6.0,10.076,10.0,18.2,18.198,34.101,2,0,24.536,28.842,33.054,37.173,41.204,24.5036541760945,238.3,2,0,-3.779,2,0.07816,2,0,0.01954,2,3.2427,2,0,0.0977,2,0,2086.9,2,0,,9,0,,9,,,9,,9,0,,,9,0,,,9,0,,,9,0,,,9,0,,,9,,9,0,,9,,,9,,,9,,,9,,,9,,,9,,9,,9,,9,,9,,9,2001-09-06 03:00:00,34.99025963758444,11571.125,249
19,19,661,1,8.0,1,2001,9,6,3.0,0.0,52.6,4.1,29.0,20.153,3.0,15.115,15.0,18.2,18.197,34.102,2,0,24.537,28.843,33.055,37.174,41.205,24.5044992036986,237.25,2,0,-2.7215,2,0.08793,2,0,0.02931,2,3.2417,2,0,0.0977,2,0,2094.7,2,0,,9,0,,9,,,9,,9,0,,,9,0,,,9,0,,,9,0,,,9,0,,,9,,9,0,,9,,,9,,,9,,,9,,,9,,,9,,9,,9,,9,,9,,9,2001-09-06 03:00:00,34.99025963758444,11571.125,249
20,20,661,1,8.0,1,2001,9,6,3.0,0.0,52.6,4.1,29.0,20.153,1.0,20.153,20.0,18.2,18.197,34.102,2,0,24.537,28.843,33.055,37.175,41.205,24.5045517576391,237.89,2,0,-3.3626,2,0.0977,2,0,0.02931,2,3.2573,2,0,0.0977,2,0,2094.7,2,0,,9,0,,9,,,9,,9,0,,,9,0,,,9,0,,,9,0,,,9,0,,,9,,9,0,,9,,,9,,,9,,,9,,,9,,,9,,9,,9,,9,,9,,9,2001-09-06 03:00:00,34.99025963758444,11571.125,249
21,21,661,1,9.0,1,2001,9,8,12.0,6.0,53.2,4.5,31.0,25.192,8.0,5.0381,5.0,17.9,17.899,33.992,2,0,24.526,28.838,33.055,37.18,41.215,24.4930328805475,243.76,2,0,-7.7525,2,0.12702,2,0,0.019542,2,1.5946,2,0,0.1661,2,0,2072.4,2,0,2339.1,2,0,383.49,0,20.0,7.9941,0,8.1014,0,0,,,9,0,,,9,0,,,9,0,,,9,0,,,9,,9,0,,9,,,9,,,9,,,9,,,9,,,9,,9,,9,,9,,9,,9,2001-09-08 12:06:00,30.65019255050547,11573.504166666668,251
22,22,661,1,9.0,1,2001,9,8,12.0,6.0,53.2,4.5,31.0,25.192,6.0,10.076,10.0,17.9,17.898,33.992,2,0,24.526,28.838,33.055,37.18,41.215,24.4930594236656,244.05,2,0,-8.0321,2,0.10748,2,0,0.019542,2,1.5956,2,0,0.1661,2,0,,9,0,2341.1,2,0,,9,,,9,,9,0,,,9,0,,,9,0,,,9,0,,,9,0,,,9,,9,0,,9,,,9,,,9,,,9,,,9,,,9,,9,,9,,9,,9,,9,2001-09-08 12:06:00,30.65019255050547,11573.504166666668,251
23,23,661,1,9.0,1,2001,9,8,12.0,6.0,53.2,4.5,31.0,25.192,3.0,20.153,20.0,17.9,17.897,33.986,2,0,24.522,28.834,33.051,37.176,41.212,24.4883522657413,243.06,2,0,-7.0292,2,0.15633,2,0,0.019542,2,1.6484,2,0,0.19542,2,0,2075.3,2,0,2344.0,2,0,381.23,0,20.0,7.997,0,8.1038,0,0,,,9,0,,,9,0,,,9,0,,,9,0,,,9,,9,0,,9,,,9,,,9,,,9,,,9,,,9,,9,,9,,9,,9,,9,2001-09-08 12:06:00,30.65019255050547,11573.504166666668,251
24,24,661,1,9.0,1,2001,9,8,12.0,6.0,53.2,4.5,31.0,25.192,1.0,25.192,25.0,17.9,17.896,33.986,2,0,24.522,28.834,33.051,37.176,41.212,24.4883793044323,242.89,2,0,-6.8593,2,0.12702,2,0,0.019542,2,1.6239,2,0,0.18565,2,0,2073.4,2,0,2344.0,2,0,377.59,0,20.0,8.0004,0,8.1071,0,0,,,9,0,,,9,0,,,9,0,,,9,0,,,9,,9,0,,9,,,9,,,9,,,9,,,9,,,9,,9,,9,,9,,9,,9,2001-09-08 12:06:00,30.65019255050547,11573.504166666668,251
25,25,661,1,10.0,1,2001,9,8,17.0,40.0,53.203,3.5012,32.0,21.161,6.0,5.0381,5.0,17.4,17.399,33.766,2,0,24.474,28.795,33.022,37.156,41.201,24.4571619149779,245.26,2,0,-6.6533,2,1.9252,2,0,0.12704,2,2.8692,2,0,0.17591,2,0,2094.2,2,0,2322.9,2,0,458.57,0,20.0,7.9276,0,8.0415,0,0,,,9,0,,,9,0,,,9,0,,,9,0,,,9,,9,0,,9,,,9,,,9,,,9,,,9,,,9,,9,,9,,9,,9,,9,2001-09-08 17:40:00,86.95618332318703,11573.736111111111,251
26,26,661,1,10.0,1,2001,9,8,17.0,40.0,53.203,3.5012,32.0,21.161,3.0,10.076,10.0,17.4,17.398,33.765,2,0,24.473,28.795,33.021,37.156,41.2,24.4564263805889,245.43,2,0,-6.8142,2,1.9545,2,0,0.12704,2,2.923,2,0,0.17591,2,0,2092.3,2,0,2332.7,2,0,434.3,0,20.0,7.9489,0,8.0631,0,0,,,9,0,,,9,0,,,9,0,,,9,0,,,9,,9,0,,9,,,9,,,9,,,9,,,9,,,9,,9,,9,,9,,9,,9,2001-09-08 17:40:00,86.95618332318703,11573.736111111111,251
27,27,661,1,10.0,1,2001,9,8,17.0,40.0,53.203,3.5012,32.0,21.161,1.0,21.161,21.0,17.4,17.397,33.764,2,0,24.473,28.794,33.021,37.155,41.2,24.4557522182046,245.31,2,0,-6.6872,2,1.9545,2,0,0.12704,2,2.9142,2,0,0.16613,2,0,2091.3,2,0,2332.7,2,0,431.99,0,20.0,7.9508,0,8.0646,0,0,,,9,0,,,9,0,,,9,0,,,9,0,,,9,,9,0,,9,,,9,,,9,,,9,,,9,,,9,,9,,9,,9,,9,,9,2001-09-08 17:40:00,86.95618332318703,11573.736111111111,251
28,28,661,1,11.0,1,2001,9,3,17.0,8.0,53.2,2.5,34.0,26.199,7.0,5.0381,5.0,17.8,17.799,33.951,2,0,24.519,28.833,33.052,37.178,41.216,24.5389636561217,241.89,2,0,-5.3753,2,1.8077,2,0,0.19542,2,1.9425,2,0,0.21496,2,0,2069.5,2,0,2271.8,2,0,511.99,0,20.0,7.8782,0,7.9852,0,0,,,9,0,,,9,0,,,9,0,,,9,0,,,9,,9,0,,9,,,9,,,9,,,9,,,9,,,9,,9,,9,,9,,9,,9,2001-09-03 17:08:00,74.35110657882106,11568.71388888889,246
29,29,661,1,11.0,1,2001,9,3,17.0,8.0,53.2,2.5,34.0,26.199,5.0,10.076,10.0,17.8,17.798,33.944,2,0,24.514,28.828,33.047,37.173,41.211,24.533617775932,242.07,2,0,-5.5375,2,1.7686,2,0,0.18565,2,1.9689,2,0,0.22474,2,0,2072.5,2,0,,9,0,,9,,,9,,9,0,,,9,0,,,9,0,,,9,0,,,9,0,,,9,,9,0,,9,,,9,,,9,,,9,,,9,,,9,,9,,9,,9,,9,,9,2001-09-03 17:08:00,74.35110657882106,11568.71388888889,246
30,30,661,1,11.0,1,2001,9,3,17.0,8.0,53.2,2.5,34.0,26.199,3.0,20.153,20.0,17.8,17.797,33.944,2,0,24.514,28.828,33.047,37.174,41.211,24.53370128352,242.72,2,0,-6.1749,2,1.7881,2,0,0.18565,2,1.9679,2,0,0.22474,2,0,2072.5,2,0,,9,0,,9,,,9,,9,0,,,9,0,,,9,0,,,9,0,,,9,0,,,9,,9,0,,9,,,9,,,9,,,9,,,9,,,9,,9,,9,,9,,9,,9,2001-09-03 17:08:00,74.35110657882106,11568.71388888889,246
31,31,661,1,11.0,1,2001,9,3,17.0,8.0,53.2,2.5,34.0,26.199,1.0,26.199,26.0,17.8,17.796,33.944,2,0,24.514,28.828,33.047,37.174,41.212,24.5337516313924,242.31,2,0,-5.7599,2,1.7784,2,0,0.18565,2,1.9464,2,0,0.21497,2,0,2072.5,2,0,,9,0,,9,,,9,,9,0,,,9,0,,,9,0,,,9,0,,,9,0,,,9,,9,0,,9,,,9,,,9,,,9,,,9,,,9,,9,,9,,9,,9,,9,2001-09-03 17:08:00,74.35110657882106,11568.71388888889,246
