,Unnamed: 0,Unnamed: 0.1,par1,par1_type,par2,par2_type,alkalinity,dic,opt_k_bisulfate,opt_k_carbonic,opt_k_fluoride,opt_total_borate,opt_gas_constant,opt_pH_scale,buffers_mode,salinity,temperature,pressure,total_ammonia,total_borate,total_calcium,total_fluoride,total_phosphate,total_silicate,total_sulfate,total_sulfide,peng_correction,gas_constant,total_alpha,total_beta,pH,pCO2,fCO2,bicarbonate,carbonate,aqueous_CO2,xCO2,alkalinity_borate,hydroxide,alkalinity_phosphate,alkalinity_silicate,alkalinity_ammonia,alkalinity_sulfide,hydrogen_free,revelle_factor,saturation_calcite,saturation_aragonite,pH_total,pH_sws,pH_free,pH_nbs,gamma_dic,beta_dic,omega_dic,gamma_alk,beta_alk,omega_alk,isocapnic_quotient,isocapnic_quotient_approx,psi,substrate_inhibitor_ratio,alkalinity_alpha,alkalinity_beta,HCO3,CO3,CO2,BOH4,BOH3,OH,Hfree,H3PO4,H2PO4,HPO4,PO4,H3SiO4,H4SiO4,NH3,NH4,HS,H2S,HSO4,SO4,HF,F,alpha,alphaH,beta,betaH,k_CO2,k_carbonic_1,k_carbonic_2,k_water,k_borate,k_bisulfate,k_fluoride,k_phosphoric_1,k_phosphoric_2,k_phosphoric_3,k_silicate,k_ammonia,k_sulfide,k_calcite,k_aragonite,fugacity_factor,vp_factor,fH,k_alpha,k_beta,datetime,longitude,latitude,datenum,dayofyear,month,year
0,0,0,2368.5,1,2100.5,2,2368.5,2100.5,1,4,1,1,3,1,auto,32.877,19.0,0.0,0.0,390.48482571428576,9660.73708728104,64.18138946955574,0.44005,6.0717,26522.753371029783,0.0,0.0,83.14462618,0.0,0.0,8.094943111771803,366.5877791960357,365.3289003823358,1893.3190994668653,194.8643911808284,12.31650935230584,374.5595817370561,80.5627167786514,4.171413056592182,0.4935991785427698,0.2325920070231494,0.0,0.0,0.0065857727151947,10.554572718149055,4.727710043715793,3.052436915311335,8.094943111771803,8.086035238302825,8.181393261513572,8.221423091485127,0.0001990132671489,0.000238948192575,-0.0002989335944081,-0.000238948192575,-0.0002597144322424,0.0002844336726431,1.2006646390876292,1.227584972042468,0.6657440678187843,0.2874862497302053,0.0,0.0,1893.3190994668653,194.8643911808284,12.31650935230592,80.5627167786514,309.9221089356344,4.171413056592182,0.0065857727151947,1.060909327229803e-09,0.0032066265870481,0.3800875651004057,0.0567558072516366,0.2325920070231494,5.839107992976851,0.0,0.0,0.0,0.0,0.0014505410350263,26522.751920488747,0.0001665355820233,64.18122293397371,0.0,0.0,0.0,0.0,0.0337134821236866,1.2353586578450125e-06,8.27114352870924e-10,3.352278443546499e-14,2.0889999658882248e-09,0.120419079303512,0.0025380939117684,0.0242899717499813,9.525596052232936e-07,1.2000063159214915e-09,3.2011436762799587e-10,3.5519609904611566e-10,2.490401267263922e-07,3.981914359095239e-07,6.167313864630875e-07,0.9965659553178212,0.9787168639391084,0.7321703653802087,1e-07,1e-07,2001-09-05 15:36:00,3.0004,51.5,11570.65,248,9,2001
1,1,1,2369.4,1,2109.3,2,2369.4,2109.3,1,4,1,1,3,1,auto,32.882,19.0,0.0,0.0,390.5442114285714,9662.206311524018,64.19115030379693,0.4302699999999999,6.0678,26526.787004477326,0.0,0.0,83.14462618,0.0,0.0,8.080289291358355,381.84350473858495,380.5322370817129,1906.716091989488,189.75519069814248,12.828717312369976,390.147034573535,78.44274232225425,4.033362524236591,0.4808835341548726,0.2250225913183776,0.0,0.0,0.0068117030382651,10.727528968791257,4.603591804834143,2.9723335309204484,8.080289291358355,8.07138100002023,8.166744293717953,8.206763045545932,0.0001966249642519,0.0002350264369009,-0.0002920682907813,-0.0002350264369009,-0.0002547402749672,0.0002780640774612,1.1953031386178927,1.219429996422412,0.6732157185770997,0.2799176771621441,0.0,0.0,1906.716091989488,189.75519069814248,12.828717312369896,78.44274232225425,312.10146910631715,4.033362524236591,0.0068117030382651,1.1141233365131443e-09,0.0032558623049424,0.3731447378928724,0.0538693986880617,0.2250225913183776,5.842777408681623,0.0,0.0,0.0,0.0,0.0015003959048685,26526.785504081425,0.0001722587942656,64.19097804500267,0.0,0.0,0.0,0.0,0.0337125637784398,1.235416806605678e-06,8.272148867815677e-10,3.3525708717272056e-14,2.0891405736646036e-09,0.120429937743256,0.0025383312477155,0.0242908922318309,9.526250567887192e-07,1.1999841643283383e-09,3.2012345015847647e-10,3.55187871916448e-10,2.4904345722581984e-07,3.982659364548267e-07,6.168398607138367e-07,0.9965659553178212,0.9787169218291598,0.732180156484315,1e-07,1e-07,2001-09-05 15:36:00,3.0004,51.5,11570.65,248,9,2001
2,2,2,2370.3,1,2108.3,2,2370.3,2108.3,1,4,1,1,3,1,auto,32.93,19.0,0.0,0.0,391.11431428571433,9676.310864256611,64.2848543125124,0.44003,6.073499999999999,26565.509885573825,0.0,0.0,83.14462618,0.0,0.0,8.083018305456715,378.9603161812854,377.6589495227462,1904.608651935096,190.96282564647,12.728522418434512,387.2009286314896,78.99316856978012,4.062184730048635,0.492114654357874,0.2266601065942167,0.0,0.0,0.006768310353684,10.686715754344968,4.63133222569172,2.990564864132691,8.083018305456715,8.074106005723461,8.169519735400156,8.209432256767224,0.0001972823127762,0.0002360484565888,-0.0002937756176392,-0.0002360484565888,-0.0002560038387394,0.0002796448297677,1.1965008584247436,1.2212105205331711,0.6715407982515829,0.281400903978702,0.0,0.0,1904.608651935096,190.96282564647,12.728522418434569,78.99316856978012,312.12114571593423,4.062184730048635,0.006768310353684,1.123214990738097e-09,0.0033043224431555,0.3813366973861697,0.0553889790474596,0.2266601065942167,5.846839893405782,0.0,0.0,0.0,0.0,0.001491720891725,26565.50839385293,0.0001712575712488,64.28468305494115,0.0,0.0,0.0,0.0,0.0337037489367575,1.2359743431031494e-06,8.281800678289716e-10,3.355377313509012e-14,2.0904897221249743e-09,0.1205343482888833,0.0025406099288414,0.0242997174425339,9.532523298074828e-07,1.1997657329045712e-09,3.2021050955294183e-10,3.551088645864661e-10,2.490752874994737e-07,3.989814538075154e-07,6.178818211348086e-07,0.9965659553178212,0.9787174775656412,0.732274226840875,1e-07,1e-07,2001-09-05 15:36:00,3.0004,51.5,11570.65,248,9,2001
3,3,3,2370.9,1,2116.5,2,2370.9,2116.5,1,4,1,1,3,1,auto,32.052,19.0,0.0,0.0,380.68618285714285,9418.31508718958,62.57085181975851,0.44032,6.0324,25857.203852183786,0.0,0.0,83.14462618,0.0,0.0,8.080374867446267,385.0770866154634,383.7547146939427,1916.574915520274,186.92909590970336,12.99598857002252,393.4547976814557,75.78503045343778,3.9754635147152686,0.4921669728546334,0.2227130331662271,0.0,0.0,0.0068236578486562,10.891675785923413,4.561249082246861,2.9391978658720608,8.080374867446267,8.07153683697312,8.165982757656172,8.207871896957771,0.0001943227141167,0.0002315515749716,-0.0002864257867016,-0.0002315515749716,-0.0002505803890251,0.0002730167982248,1.1915826516944716,1.2146740853712807,0.6784400118245519,0.2808720715528991,0.0,0.0,1916.574915520274,186.92909590970336,12.995988570022469,75.78503045343778,304.9011524037051,3.9754635147152686,0.0068236578486562,1.1602605044930247e-09,0.0033695943326365,0.3817338349993117,0.0552165695077911,0.2227130331662271,5.809686966833772,0.0,0.0,0.0,0.0,0.0014868033874775,25857.2023653804,0.0001708526185287,62.57068096713999,0.0,0.0,0.0,0.0,0.033865352196095,1.2255798487057327e-06,8.105433337691161e-10,3.303793577457571e-14,2.0656155589324463e-09,0.1186711729007869,0.0024990013144299,0.0241349966343819,9.414736486796648e-07,1.202081458690155e-09,3.1857965128172555e-10,3.565463156867037e-10,2.4845179974000096e-07,3.859813600387333e-07,5.989923797521232e-07,0.9965659553178212,0.9787073099238836,0.73057522420174,1e-07,1e-07,2001-09-05 15:36:00,3.0004,51.5,11570.65,248,9,2001
4,4,4,2345.4,1,2076.7,2,2345.4,2076.7,1,4,1,1,3,1,auto,33.765,18.7,0.0,0.0,401.0317285714286,9921.671312834023,65.91491363079203,0.0586349999999999,1.0105,27239.12667131492,0.0,0.0,83.14462618,0.0,0.0,8.093643543542628,361.3547700142604,360.1092110266633,1870.6058537657816,193.9091157364429,12.185030497775156,369.0598885699607,82.77453100355731,4.10566989506674,0.0656172949906814,0.0383247976871541,0.0,0.0,0.0066069049588335,10.44491251179843,4.673667321703208,3.02091877634291,8.093643543542628,8.08469355211463,8.180001940527992,8.218377911900882,0.0001988240684308,0.0002391154055071,-0.0002998869529417,-0.0002391154055071,-0.0002600394813642,0.0002849767043171,1.202648187386654,1.22937064956001,0.662996727535079,0.2831289182183157,0.0,0.0,1870.6058537657816,193.9091157364429,12.185030497775156,82.77453100355731,318.2571975678713,4.10566989506674,0.0066069049588335,1.4072280752767434e-10,0.0004271454083889,0.0507984137703722,0.007409440680516,0.0383247976871541,0.9721752023128456,0.0,0.0,0.0,0.0,0.0014534924044224,27239.12521782251,0.0001678326065519,65.91474579818548,0.0,0.0,0.0,0.0,0.0338370419991087,1.2374057364255716e-06,8.355499033033843e-10,3.309333111502755e-14,2.0964038612935315e-09,0.1238164787984746,0.0025948024631289,0.0244662668200194,9.58585522191358e-07,1.1756870395416904e-09,3.177545574731553e-10,3.452473702901302e-10,2.4682902643803404e-07,4.116472950407086e-07,6.368600592526798e-07,0.9965530855243784,0.9791223083452492,0.7350478983935314,1e-07,1e-07,2001-09-05 19:39:00,3.499,51.983,11570.81875,248,9,2001
5,5,5,2343.4,1,2075.7,2,2343.4,2075.7,1,4,1,1,3,1,auto,33.766,18.7,0.0,0.0,401.0436057142857,9921.965157682622,65.91686579764026,0.0586349999999999,1.0105,27239.933398004425,0.0,0.0,83.14462618,0.0,0.0,8.092104377055682,362.5732534558504,361.3234944600402,1870.2799067994367,193.1940416910004,12.226051509562188,370.3043492726609,82.54526603802894,4.091214235466447,0.0655924554686267,0.038194534208619,0.0,0.0,0.0066303489123956,10.46018121752148,4.656399342728171,3.0097631516724213,8.092104377055682,8.083154304050165,8.178463616883164,8.216837458013115,0.0001984382446953,0.0002385438437481,-0.0002989669088403,-0.0002385438437481,-0.0002593410687677,0.0002841110265999,1.2021061973934424,1.2284943844410083,0.6637465178506285,0.2820786555143267,0.0,0.0,1870.2799067994367,193.1940416910004,12.22605150956216,82.54526603802894,318.4983396762568,4.091214235466447,0.0066303489123956,1.4178084299915398e-10,0.0004288374986951,0.0508198691086403,0.0073862932508836,0.038194534208619,0.9723054657913808,0.0,0.0,0.0,0.0,0.0014586656776985,27239.93193933875,0.0001684300205032,65.91669736761976,0.0,0.0,0.0,0.0,0.0338368572678416,1.2374168052470165e-06,8.355698157087131e-10,3.309389196145308e-14,2.0964312355634963e-09,0.1238188132270907,0.0025948503799632,0.0244664423193053,9.585977623383869e-07,1.1756786370765263e-09,3.177562590448596e-10,3.452457351480524e-10,2.46829588579848e-07,4.116624046267698e-07,6.368821909673701e-07,0.9965530855243784,0.9791223197027104,0.735049939264765,1e-07,1e-07,2001-09-05 19:39:00,3.499,51.983,11570.81875,248,9,2001
6,6,6,2346.4,1,2074.7,2,2346.4,2074.7,1,4,1,1,3,1,auto,33.768,18.7,0.0,0.0,401.06736000000006,9922.552847379811,65.92077013133675,0.068407,1.0154,27241.54685138345,0.0,0.0,83.14462618,0.0,0.0,8.098871279776837,356.3033014670418,355.07515445950327,1866.812157836644,195.87334602844504,12.014496134910791,363.9006955834245,83.57806760328846,4.155601019278945,0.0766515547329554,0.0389597117251396,0.0,0.0,0.006527814356697,10.385643883618334,4.720909511991139,3.051472598175454,8.098871279776837,8.089921043622539,8.18523220489888,8.223601785841794,0.0001997661409585,0.0002406397342472,-0.0003025420120506,-0.0002406397342472,-0.0002619651040729,0.000287437684223,1.2046072126769245,1.2324126923809129,0.6602922338108232,0.2859781323164377,0.0,0.0,1866.812157836644,195.87334602844504,12.014496134910848,83.57806760328846,317.4892923967116,4.155601019278945,0.006527814356697,1.6003009838965566e-10,0.000491643163919,0.059179158459116,0.0087361982169347,0.0389597117251396,0.9764402882748604,0.0,0.0,0.0,0.0,0.0014361391523617,27241.54541524429,0.0001658290506372,65.92060430228611,0.0,0.0,0.0,0.0,0.033836487808333,1.237438941221645e-06,8.35609640592813e-10,3.3095013634361324e-14,2.0964859824805566e-09,0.1238234825419246,0.0025949462142664,0.0244667932915194,9.586222401573398e-07,1.1756618194408115e-09,3.177596618869748e-10,3.4524246480329584e-10,2.468307125419092e-07,4.116926245723828e-07,6.369264559421116e-07,0.9965530855243784,0.9791223424176144,0.73505402118856,1e-07,1e-07,2001-09-05 19:39:00,3.499,51.983,11570.81875,248,9,2001
7,7,7,2345.4,1,2074.7,2,2345.4,2074.7,1,4,1,1,3,1,auto,33.769,18.7,0.0,0.0,401.0792371428572,9922.846692228408,65.92272229818498,0.1172699999999999,1.032,27242.35357807296,0.0,0.0,83.14462618,0.0,0.0,8.097106421868867,357.88072656016067,356.6471423032344,1867.479055379564,195.15332382081465,12.067620799620848,365.5117516011487,83.31285306570611,4.138818157126497,0.1313462535019591,0.0394423910674097,0.0,0.0,0.0065543829264508,10.404166183522417,4.703522303443582,3.0402398978198346,8.097106421868867,8.088156104143307,8.183468189443339,8.221835640442167,0.0001994105018512,0.0002400835607283,-0.0003015998143479,-0.0002400835607283,-0.0002612701744555,0.0002865580112228,1.2039664837082682,1.231392998471253,0.6611758110075578,0.2849206517738183,0.0,0.0,1867.479055379564,195.15332382081465,12.067620799620768,83.31285306570611,317.76638407715103,4.138818157126497,0.0065543829264508,2.7670806559230075e-10,0.0008466587629745,0.1015004281419675,0.0149229128183498,0.0394423910674097,0.9925576089325904,0.0,0.0,0.0,0.0,0.0014419998302906,27242.35213607313,0.0001665058386334,65.92255579234634,0.0,0.0,0.0,0.0,0.0338363030800915,1.2374500083747985e-06,8.35629553071537e-10,3.3095574460844066e-14,2.096513355128634e-09,0.1238258174281828,0.0025949941317353,0.0244669687644479,9.58634477829278e-07,1.1756534042708266e-09,3.1776136315739307e-10,3.4524082960061757e-10,2.4683127436216504e-07,4.11707734931968e-07,6.369485892022545e-07,0.9965530855243784,0.9791223537750569,0.7350560622411213,1e-07,1e-07,2001-09-05 19:39:00,3.499,51.983,11570.81875,248,9,2001
8,8,8,2317.3,1,2098.4,2,2317.3,2098.4,1,4,1,1,3,1,auto,34.218,18.2,0.0,0.0,406.4120742857143,10054.783029247885,66.79924521304433,0.1660799999999999,1.5728,27604.57386166308,0.0,0.0,83.14462618,0.0,0.0,8.0033620555676,454.936109455784,453.35816014910375,1922.305022134973,160.57289371871624,15.52208414631038,464.3287248705845,70.4241852481527,3.2056708870419333,0.1815154065560635,0.0479480236738093,0.0,0.0,0.0081548768265074,11.539800027075623,3.855959834892725,2.4914332622018898,8.0033620555676,7.994427487073543,8.08858259427694,8.126453449632676,0.0001818402394388,0.0002128551589033,-0.000256625565703,-0.0002128551589033,-0.0002275686611529,0.0002444673389189,1.170561365076119,1.181734313155277,0.7085819331393568,0.2357245931522248,0.0,0.0,1922.305022134973,160.57289371871624,15.522084146310462,70.4241852481527,335.9878890375617,3.2056708870419333,0.0081548768265074,6.191707553838441e-10,0.0015331589146949,0.1475782737570342,0.0169685667091,0.0479480236738093,1.5248519763261907,0.0,0.0,0.0,0.0,0.0017680077460422,27604.572093655333,0.0002062532580751,66.79903895978626,0.0,0.0,0.0,0.0,0.0342380164530524,1.228882080895511e-06,8.288727801710861e-10,3.1809502552699705e-14,2.0798698170628274e-09,0.1273251691210797,0.0026411119025706,0.0245705388751316,9.551535581749145e-07,1.1409344102688274e-09,3.1201894820824806e-10,3.30817272422899e-10,2.425052469329781e-07,4.187091349111756e-07,6.48030846828014e-07,0.9965314925021715,0.9797716253341456,0.737860118793635,1e-07,1e-07,2001-09-03 20:51:00,2.5,52.583,11568.86875,246,9,2001
9,9,9,2317.3,1,2097.4,2,2317.3,2097.4,1,4,1,1,3,1,auto,34.219,18.2,0.0,0.0,406.42395142857146,10055.076874096478,66.80119737989256,0.1660799999999999,1.564,27605.3805883526,0.0,0.0,83.14462618,0.0,0.0,8.00538795894379,452.4545055360988,450.8851636912206,1920.7644687547,161.1982021634312,15.437329081869049,461.7958805452059,70.69900454674162,3.220713254274411,0.181595017314324,0.0478960992980446,0.0,0.0,0.0081169102365219,11.512900898905938,3.8709484096724633,2.501122267831722,8.00538795894379,7.996453309745384,8.09060925679238,8.128478025254045,0.0001821782379972,0.0002133722076001,-0.0002574557815298,-0.0002133722076001,-0.000228200718743,0.0002452442056987,1.17122774896622,1.182647719627224,0.7076098152261958,0.2366373919120403,0.0,0.0,1920.7644687547,161.1982021634312,15.437329081868995,70.69900454674162,335.7249468818298,3.220713254274411,0.0081169102365219,6.131432981898219e-10,0.0015253434317,0.147514293982846,0.0170403619723106,0.0478960992980446,1.5161039007019554,0.0,0.0,0.0,0.0,0.001759793712386,27605.37882855888,0.0002052952418833,66.80099208465067,0.0,0.0,0.0,0.0,0.0342378288863831,1.22889277855918e-06,8.288923310729858e-10,3.181003167810407e-14,2.079896509947853e-09,0.1273276409726375,0.0026411603673203,0.0245707091815378,9.551652409357225e-07,1.1409240945420887e-09,3.1202056681499604e-10,3.3081567610385647e-10,2.425057514306009e-07,4.187243391488634e-07,6.480532101793669e-07,0.9965314925021715,0.9797716363383786,0.7378622375176088,1e-07,1e-07,2001-09-03 20:51:00,2.5,52.583,11568.86875,246,9,2001
10,10,10,2318.2,1,2097.4,2,2318.2,2097.4,1,4,1,1,3,1,auto,34.219,18.2,0.0,0.0,406.42395142857146,10055.076874096478,66.80119737989256,0.1660799999999999,1.5659999999999998,27605.3805883526,0.0,0.0,83.14462618,0.0,0.0,8.007098413237554,450.5524188973338,448.9896744542237,1920.237629530732,161.78993882355135,15.372431645716608,459.8545234286909,70.92930896216586,3.2334229376252663,0.1816625114965057,0.0481407805452577,0.0,0.0,0.0080850049272309,11.491547000888064,3.885158134425564,2.510303547259506,8.007098413237554,7.998163764039146,8.092319711086143,8.130188479547808,0.0001825167664404,0.0002138690802212,-0.0002582266682198,-0.0002138690802212,-0.0002287990781178,0.0002459700116274,1.1717777187942566,1.1834187992453384,0.7068083544530723,0.2375060555700109,0.0,0.0,1920.237629530732,161.78993882355135,15.372431645716553,70.92930896216586,335.4946424664056,3.2334229376252663,0.0080850049272309,6.081083136620584e-10,0.0015187876105265,0.1474599114581162,0.0171013003232489,0.0481407805452577,1.5178592194547422,0.0,0.0,0.0,0.0,0.0017528764547743,27605.37883547613,0.0002044882860409,66.80099289160651,0.0,0.0,0.0,0.0,0.0342378288863831,1.22889277855918e-06,8.288923310729858e-10,3.181003167810407e-14,2.079896509947853e-09,0.1273276409726375,0.0026411603673203,0.0245707091815378,9.551652409357225e-07,1.1409240945420887e-09,3.1202056681499604e-10,3.3081567610385647e-10,2.425057514306009e-07,4.187243391488634e-07,6.480532101793669e-07,0.9965314925021715,0.9797716363383786,0.7378622375176088,1e-07,1e-07,2001-09-03 20:51:00,2.5,52.583,11568.86875,246,9,2001
