,datetime,par1,par1_type,opt_k_bisulfate,opt_k_carbonic,opt_k_fluoride,opt_total_borate,opt_gas_constant,opt_pH_scale,salinity,temperature,pressure,total_ammonia,total_borate,total_calcium,total_fluoride,total_phosphate,total_silicate,total_sulfate,total_sulfide,peng_correction,gas_constant,total_alpha,total_beta,pCO2,fCO2,aqueous_CO2,xCO2,k_CO2,k_carbonic_1,k_carbonic_2,k_water,k_borate,k_bisulfate,k_fluoride,k_phosphoric_1,k_phosphoric_2,k_phosphoric_3,k_silicate,k_ammonia,k_sulfide,k_calcite,k_aragonite,fugacity_factor,vp_factor,fH,k_alpha,k_beta,longitude,latitude,fco2_air,deltafco2,datenum,dayofyear,month,year,distance_to_shore
0,1991-11-30,328.88,5.0,1.0,4.0,1.0,1.0,3.0,1.0,,11.53,0.0,0.0,,,,0.0,0.0,,0.0,0.0,83.14462618,0.0,0.0,330.1261027695518,328.88,,,,,,,,,,,,,,,,,,0.9962253733979296,,,1e-07,1e-07,3.8200000000000003,52.872,,,8003.0,318,11,1991,57.852200623788356
35,1994-10-31,344.39161954261954,5.0,1.0,4.0,1.0,1.0,3.0,1.0,34.11918918918919,14.794220374220375,0.0,0.0,405.2384841698842,10025.74798150556,66.60635002393182,0.0,0.0,27524.860543369843,0.0,0.0,83.14462618,0.0,0.0,345.6428230862717,344.39161954261954,13.041784722232222,351.37305493878875,0.03788813691243598,1.1366786509717754e-06,7.267156761057593e-10,2.2926243828921204e-14,1.888959338972106e-09,0.14542082117031033,0.0028121050876691893,0.02469482962815011,8.928793475461304e-07,9.51548189366516e-10,2.7013183442818114e-10,2.5060134764515815e-10,2.1257133683078297e-07,4.182418732450387e-07,6.524990704375276e-07,0.996379414013198,0.9837072312268231,0.7504231370351029,1e-07,1e-07,4.489376299376299,53.09110187110187,348.9493590499133,-4.557739507293745,9069.0,142,10,1994,22.001919290319293
117,2001-08-31,344.62924725738395,5.0,1.0,4.0,1.0,1.0,3.0,1.0,34.69100562587904,17.016317862165966,0.0,0.0,412.030029676512,10193.773295769226,67.72263111491596,0.0,0.0,27986.160124348222,0.0,0.0,83.14462618,0.0,0.0,345.8466439628542,344.62924725738395,12.176947161613143,352.46573208359973,0.03534040748474484,1.2018383260060357e-06,8.014842098177296e-10,2.864798564364092e-14,2.0247304977996752e-09,0.13466037518895277,0.002724202618355014,0.024703115348210628,9.391039481154301e-07,1.0658070828157092e-09,2.977250052456299e-10,2.99803634526283e-10,2.3208351326863683e-07,4.263306699723751e-07,6.611774109453845e-07,0.9964796178452073,0.981229609241089,0.7433967101513544,1e-07,1e-07,4.960775668073136,55.55609676511955,354.00118146181217,-9.371934204428237,11565.0,142,8,2001,197.6911628141016
118,2001-09-30,397.0753882106,5.0,1.0,4.0,1.0,1.0,3.0,1.0,34.32710862340388,17.11356043379395,0.0,0.0,407.7079729928284,10086.844036172482,67.01224345051038,0.0,0.0,27692.594700218717,0.0,0.0,83.14462618,0.0,0.0,398.4777334297689,397.0753882105999,14.053722608478187,406.1331951150533,0.035333891937081356,1.2006436563281301e-06,7.978599968009531e-10,2.884964851357902e-14,2.0211912779759366e-09,0.13337018516996113,0.00270218954399728,0.024634689834882085,9.366051988742703e-07,1.0765355810314934e-09,2.985495981389855e-10,3.0374759845389446e-10,2.3286189911641723e-07,4.207393490498989e-07,6.527617182205071e-07,0.9964835326743967,0.9810752766012774,0.7422469144771543,1e-07,1e-07,4.0583334266223545,53.54322252929858,354.74903607960846,42.3263521309915,11595.0,142,9,2001,78.78341070203868
120,2001-11-30,367.4696530884503,5.0,1.0,4.0,1.0,1.0,3.0,1.0,34.528437499999995,11.507762792397662,0.0,0.0,410.0991848214286,10146.003489433811,67.40527100899453,0.0,0.0,27855.012078337928,0.0,0.0,83.14462618,0.0,0.0,368.86220700071806,367.4696530884503,15.39929793535799,373.7910955043556,0.041928876704537946,1.0538750486200236e-06,6.458867731493822e-10,1.6732960082347923e-14,1.7284831238376553e-09,0.168291839951818,0.003020976485125736,0.024832912979296372,8.369250673584974e-07,7.917575716597401e-10,2.344004055724886e-10,1.9083330454079874e-10,1.8605124075359087e-07,4.2473576386544767e-07,6.665009104953075e-07,0.9962237707310163,0.9868326005296487,0.7639421846703482,1e-07,1e-07,4.252277649853801,54.17846222587719,367.41663461293166,0.05301847551863522,11656.0,142,11,2001,131.55473492258406
123,2002-02-28,365.910549074455,5.0,1.0,4.0,1.0,1.0,3.0,1.0,33.484627725215965,6.531308103661045,0.0,0.0,397.7017070106364,9839.285364199677,65.36758017079325,0.0,0.0,27012.942874247918,0.0,0.0,83.14462618,0.0,0.0,367.3903983659948,365.91054907445493,18.22910058747002,370.87431835536756,0.049818965178031464,9.175943230437006e-07,5.158351291085583e-10,9.824088331533322e-15,1.4719049491573356e-09,0.20333618555653668,0.0032720469306249844,0.024693769511387714,7.378208051256538e-07,6.060536311853503e-10,1.8504792672236432e-10,1.251581934143975e-10,1.490723343887951e-07,4.0913056088315136e-07,6.484249724846218e-07,0.9959719543938312,0.9906067914401865,0.7793821350361881,1e-07,1e-07,4.551234512546277,55.03772764294529,372.56581902363826,-6.655269949183359,11746.0,142,2,2002,203.73335091316633
124,2002-03-31,360.1406087946604,5.0,1.0,4.0,1.0,1.0,3.0,1.0,34.03778955634079,6.576874754613271,0.0,0.0,404.2716891020248,10001.829118715477,66.44744435922637,0.0,0.0,27459.19328703471,0.0,0.0,83.14462618,0.0,0.0,361.59663187412866,360.14060879466035,17.87663560291249,365.0321651928704,0.04959032662990421,9.226956045720132e-07,5.238533354490905e-10,9.958606248758563e-15,1.4836835692888207e-09,0.20609336928902855,0.003302941819515301,0.024757052650987512,7.420109204894414e-07,5.992924532449024e-10,1.85900874236251e-10,1.252889438977777e-10,1.4947610870174557e-07,4.1749947184346605e-07,6.610857975007906e-07,0.9959742926956348,0.9905769887279714,0.7811558974552266,1.0000000000000001e-07,1.0000000000000001e-07,4.230767726737338,53.56001931684334,372.6932665768772,-12.5526577822168,11777.0,142,3,2002,74.33951151142762
126,2002-05-31,298.8832866942304,5.0,1.0,4.0,1.0,1.0,3.0,1.0,34.24627137756061,10.90426649126104,0.0,0.0,406.7478574757699,10063.09042790677,66.8544356590722,0.0,0.0,27627.38113649044,0.0,0.0,83.14462618,0.0,0.0,300.02561589224024,298.8832866942304,12.812185561615342,303.85883174714684,0.042815214473441,1.0354849426171697e-06,6.263382530412275e-10,1.5653447231878127e-14,1.6921951485069881e-09,0.1715507005968908,0.0030412361530074206,0.02479770350691887,8.231926720577741e-07,7.678110743091813e-10,2.2773060504269354e-10,1.8151197131100756e-10,1.8121643825142826e-07,4.205782094127564e-07,6.61047212748618e-07,0.9961944222911919,0.9873539855562673,0.7654457424724459,1e-07,1e-07,4.180293629017102,54.00353082127419,371.0394644012319,-72.15617770700152,11838.0,142,5,2002,120.58423915133065
142,2003-09-30,402.8085746363061,5.0,1.0,4.0,1.0,1.0,3.0,1.0,34.3868247944339,18.92472827324478,0.0,0.0,408.4172304870336,10104.391325407512,67.12881937989896,0.0,0.0,27740.769329183997,0.0,0.0,83.14462618,0.0,0.0,404.19779134720665,402.8085746363061,13.496233257936366,412.9464810881589,0.03351196468225318,1.250136951518236e-06,8.550628975638758e-10,3.4172061812235216e-14,2.1263229283399897e-09,0.12429033924241346,0.0026139859968074474,0.02455967569422418,9.698407603544266e-07,1.1832968549771045e-09,3.2175745792265127e-10,3.507904242215414e-10,2.492258805867799e-07,4.2102887221552874e-07,6.502836197249251e-07,0.9965626577264309,0.9788263036214985,0.7355065564935703,1e-07,1e-07,3.363251688804554,52.23641239721695,358.56722446092243,44.24135017538371,12325.0,142,9,2003,52.566677707110664
143,2003-10-31,374.15919483204135,5.0,1.0,4.0,1.0,1.0,3.0,1.0,34.46077519379845,13.341731266149871,0.0,0.0,409.29554994462904,10126.12126931238,67.27318289795247,0.0,0.0,27800.42709005132,0.0,0.0,83.14462618,0.0,0.0,375.54456479388364,374.15919483204135,14.806003140948269,381.1897353878882,0.0395465202172883,1.1015378197883478e-06,6.925303291982638e-10,1.998589702466732e-14,1.8203783236187649e-09,0.155399317495058,0.002910192609105412,0.0247917667426906,8.700339190952046e-07,8.761296800671796e-10,2.540396374822122e-10,2.2179849838139949e-10,2.006367982657874e-07,4.235780937738964e-07,6.624133757019622e-07,0.9963118713150253,0.9851743342731376,0.7567671763089496,1e-07,1e-07,2.987095426356589,52.02296408268734,369.68865505673625,4.470539775305046,12356.0,142,10,2003,61.34893362001078
