,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,datetime,par1,par1_type,opt_k_bisulfate,opt_k_carbonic,opt_k_fluoride,opt_total_borate,opt_gas_constant,opt_pH_scale,salinity,temperature,pressure,total_ammonia,total_borate,total_calcium,total_fluoride,total_phosphate,total_silicate,total_sulfate,total_sulfide,peng_correction,gas_constant,total_alpha,total_beta,pressure_atmosphere,pressure_atmosphere_out,pCO2,fCO2,aqueous_CO2,xCO2,k_CO2,k_carbonic_1,k_carbonic_2,k_water,k_borate,k_bisulfate,k_fluoride,k_phosphoric_1,k_phosphoric_2,k_phosphoric_3,k_silicate,k_ammonia,k_sulfide,k_calcite,k_aragonite,fugacity_factor,vp_factor,fH,k_alpha,k_beta,longitude,latitude,fco2_air,fco2_sea,deltafco2,distance_to_shore,datenum,dayofyear,month,year,sc_fco2_air,ms_fco2_air
1,1,1,35,1994-10-31,356.01811330561327,9.0,1.0,4.0,1.0,1.0,3.0,1.0,34.11918918918919,14.794220374220377,0.0,0.0,405.2384841698842,10025.74798150556,66.60635002393182,0.0,0.0,27524.860543369843,0.0,0.0,83.14462618,0.0,0.0,1.0,1.0,350.2173441131005,348.9493590499133,13.22080996145758,356.01811330561327,0.0378881369124359,1.1366786509717754e-06,7.26715676105759e-10,2.2926243828921204e-14,1.888959338972106e-09,0.1454208211703103,0.0028121050876691,0.0246948296281501,8.928793475461304e-07,9.51548189366516e-10,2.7013183442818114e-10,2.506013476451581e-10,2.1257133683078297e-07,4.182418732450387e-07,6.524990704375276e-07,0.996379414013198,0.9837072312268232,0.7504231370351029,1e-07,1e-07,4.489376299376299,53.09110187110187,348.9493590499133,344.39161954261954,-4.55773950729373,22.001919290319293,9069.0,304,10,1994,346.1610952705903,2.7882637793230174
2,2,2,117,2001-08-31,362.0475858649789,9.0,1.0,4.0,1.0,1.0,3.0,1.0,34.69100562587904,17.016317862165966,0.0,0.0,412.030029676512,10193.773295769226,67.72263111491596,0.0,0.0,27986.160124348226,0.0,0.0,83.14462618,0.0,0.0,1.0,1.0,355.2518049747852,354.00118146181217,12.510568972881536,362.0475858649789,0.0353404074847448,1.2018383260060355e-06,8.014842098177296e-10,2.864798564364092e-14,2.0247304977996752e-09,0.1346603751889527,0.002724202618355,0.0247031153482106,9.3910394811543e-07,1.065807082815709e-09,2.977250052456299e-10,2.99803634526283e-10,2.3208351326863685e-07,4.263306699723751e-07,6.611774109453845e-07,0.9964796178452072,0.981229609241089,0.7433967101513544,1e-07,1e-07,4.960775668073136,55.55609676511955,354.00118146181217,344.62924725738395,-9.37193420442822,197.6911628141016,11565.0,243,8,2001,354.3527560699643,-0.35157460815213426
3,3,3,118,2001-09-30,362.86799379044953,9.0,1.0,4.0,1.0,1.0,3.0,1.0,34.32710862340388,17.11356043379395,0.0,0.0,407.7079729928284,10086.844036172482,67.01224345051038,0.0,0.0,27692.59470021872,0.0,0.0,83.14462618,0.0,0.0,1.0,1.0,356.0009272775209,354.74903607960846,12.53520624280869,362.86799379044953,0.0353338919370813,1.20064365632813e-06,7.97859996800953e-10,2.8849648513579024e-14,2.0211912779759366e-09,0.1333701851699611,0.0027021895439972,0.024634689834882,9.366051988742704e-07,1.076535581031493e-09,2.985495981389855e-10,3.0374759845389446e-10,2.328618991164173e-07,4.207393490498989e-07,6.527617182205071e-07,0.9964835326743968,0.9810752766012774,0.7422469144771543,1e-07,1e-07,4.0583334266223545,53.54322252929858,354.74903607960846,397.0753882106,42.32635213099152,78.78341070203868,11595.0,273,9,2001,355.5470015964754,-0.7979655168669524
4,4,4,120,2001-11-30,373.730091630117,9.0,1.0,4.0,1.0,1.0,3.0,1.0,34.528437499999995,11.507762792397662,0.0,0.0,410.0991848214286,10146.003489433811,67.40527100899453,0.0,0.0,27855.012078337928,0.0,0.0,83.14462618,0.0,0.0,1.0,1.0,368.8093816934779,367.41663461293166,15.406422339473606,373.730091630117,0.0419288767045379,1.0538750486200236e-06,6.45886773149382e-10,1.6732960082347923e-14,1.728483123837655e-09,0.168291839951818,0.0030209764851257,0.0248329129792963,8.369250673584974e-07,7.917575716597401e-10,2.344004055724886e-10,1.9083330454079874e-10,1.860512407535909e-07,4.247357638654477e-07,6.665009104953075e-07,0.9962237707310164,0.9868326005296488,0.7639421846703482,1e-07,1e-07,4.252277649853801,54.17846222587719,367.41663461293166,367.4696530884503,0.0530184755186508,131.55473492258406,11656.0,334,11,2001,366.0296790961421,1.3869555167895555
5,5,5,123,2002-02-28,377.61963870835046,9.0,1.0,4.0,1.0,1.0,3.0,1.0,33.484627725215965,6.531308103661045,0.0,0.0,397.7017070106364,9839.285364199675,65.36758017079325,0.0,0.0,27012.94287424792,0.0,0.0,83.14462618,0.0,0.0,1.0,1.0,374.0726037861558,372.5658190236383,18.56094395791944,377.61963870835046,0.0498189651780314,9.175943230437006e-07,5.158351291085583e-10,9.824088331533322e-15,1.4719049491573352e-09,0.2033361855565366,0.0032720469306249,0.0246937695113877,7.378208051256538e-07,6.060536311853503e-10,1.8504792672236432e-10,1.251581934143975e-10,1.490723343887951e-07,4.091305608831514e-07,6.484249724846218e-07,0.9959719543938312,0.9906067914401864,0.7793821350361881,1e-07,1e-07,4.551234512546277,55.03772764294529,372.5658190236383,365.910549074455,-6.655269949183343,203.7333509131664,11746.0,59,2,2002,374.3632857162336,-1.7974666925952647
6,6,6,124,2002-03-31,377.7593093050648,9.0,1.0,4.0,1.0,1.0,3.0,1.0,34.03778955634079,6.576874754613271,0.0,0.0,404.2716891020248,10001.829118715475,66.44744435922637,0.0,0.0,27459.19328703471,0.0,0.0,83.14462618,0.0,0.0,1.0,1.0,374.19968911303465,372.6932665768772,18.48210896980736,377.7593093050648,0.0495903266299042,9.226956045720132e-07,5.238533354490905e-10,9.958606248758564e-15,1.4836835692888207e-09,0.2060933692890285,0.0033029418195153,0.0247570526509875,7.420109204894414e-07,5.992924532449021e-10,1.85900874236251e-10,1.252889438977777e-10,1.4947610870174557e-07,4.174994718434661e-07,6.610857975007906e-07,0.9959742926956348,0.9905769887279714,0.7811558974552266,1.0000000000000001e-07,1.0000000000000001e-07,4.230767726737338,53.56001931684334,372.6932665768772,360.1406087946604,-12.552657782216786,74.33951151142762,11777.0,90,3,2002,374.4630761389983,-1.769809562121111
7,7,7,126,2002-05-31,377.2271603833866,9.0,1.0,4.0,1.0,1.0,3.0,1.0,34.24627137756061,10.90426649126104,0.0,0.0,406.7478574757699,10063.09042790677,66.8544356590722,0.0,0.0,27627.38113649044,0.0,0.0,83.14462618,0.0,0.0,1.0,1.0,372.4569028848382,371.0394644012319,15.886804042457218,377.2271603833866,0.042815214473441,1.0354849426171697e-06,6.263382530412272e-10,1.5653447231878127e-14,1.692195148506988e-09,0.1715507005968908,0.0030412361530074,0.0247977035069188,8.231926720577741e-07,7.67811074309181e-10,2.2773060504269354e-10,1.815119713110076e-10,1.8121643825142826e-07,4.205782094127564e-07,6.61047212748618e-07,0.996194422291192,0.9873539855562672,0.7654457424724459,1e-07,1e-07,4.180293629017102,54.00353082127419,371.0394644012319,298.8832866942304,-72.15617770700152,120.58423915133064,11838.0,151,5,2002,370.4082057377293,0.6312586635025923
8,8,8,142,2003-09-30,367.5871890575585,9.0,1.0,4.0,1.0,1.0,3.0,1.0,34.3868247944339,18.92472827324478,0.0,0.0,408.4172304870336,10104.391325407512,67.12881937989896,0.0,0.0,27740.769329184,0.0,0.0,83.14462618,0.0,0.0,1.0,1.0,359.8039980254133,358.56722446092243,12.016363116549314,367.5871890575585,0.0335119646822531,1.250136951518236e-06,8.550628975638755e-10,3.4172061812235216e-14,2.126322928339989e-09,0.1242903392424134,0.0026139859968074,0.0245596756942241,9.698407603544266e-07,1.183296854977104e-09,3.2175745792265127e-10,3.507904242215414e-10,2.492258805867799e-07,4.210288722155289e-07,6.502836197249251e-07,0.9965626577264308,0.9788263036214984,0.7355065564935703,1e-07,1e-07,3.363251688804554,52.23641239721695,358.56722446092243,402.8085746363061,44.24135017538373,52.56667770711066,12325.0,273,9,2003,359.7291524841004,-1.1619280231779499
9,9,9,143,2003-10-31,376.6411245478036,9.0,1.0,4.0,1.0,1.0,3.0,1.0,34.46077519379845,13.341731266149871,0.0,0.0,409.295549944629,10126.12126931238,67.27318289795247,0.0,0.0,27800.42709005132,0.0,0.0,83.14462618,0.0,0.0,1.0,1.0,371.05716570123707,369.68865505673625,14.620013131155488,376.6411245478036,0.0395465202172883,1.1015378197883478e-06,6.925303291982638e-10,1.9985897024667323e-14,1.8203783236187647e-09,0.155399317495058,0.0029101926091054,0.0247917667426906,8.700339190952046e-07,8.761296800671796e-10,2.540396374822122e-10,2.2179849838139943e-10,2.006367982657874e-07,4.235780937738964e-07,6.624133757019622e-07,0.9963118713150252,0.9851743342731376,0.7567671763089496,1e-07,1e-07,2.987095426356589,52.02296408268734,369.68865505673625,374.15919483204135,4.470539775305064,61.34893362001078,12356.0,304,10,2003,365.35875408102777,4.329900975708483
10,10,10,145,2003-12-31,379.6254666988417,9.0,1.0,4.0,1.0,1.0,3.0,1.0,34.19515926640926,9.885767374517377,0.0,0.0,406.1407916298952,10048.071397344098,66.75465629013902,0.0,0.0,27586.14763226744,0.0,0.0,83.14462618,0.0,0.0,1.0,1.0,375.1418953247571,373.6953656076231,16.54992616280365,379.6254666988417,0.0442862752972236,1.008870182650452e-06,6.01201702996071e-10,1.4114002448551807e-14,1.6419577922338747e-09,0.178698417595159,0.0030991464929347,0.0248028174450759,8.045096010287575e-07,7.25825543210912e-10,2.1738524671092903e-10,1.6643609080223478e-10,1.734501943523085e-07,4.198477881410701e-07,6.610950996849304e-07,0.9961440765175172,0.9881895173125655,0.7690432510678133,1e-07,1e-07,3.3826891891891893,52.224939092664094,373.6953656076231,379.69484864864864,5.999483041025616,50.7686895721427,12417.0,365,12,2003,374.3366864119323,-0.6413208043092027
